stop_id;route_number
10005;32
10007;29
10007;30
10008;15
10009;587
10010;157
10011;224
10012;193
10013;588
10014;550
10015;33
10016;21
10016;910
10016;920
10016;930
10016;940
10016;950
10019;121
10019;253
10019;811
10021;35
10021;951
10022;302
10030;303
10030;304
10033;792
10034;792
10036;104
10036;171
10036;465
10036;471
10037;484
10037;485
10038;152
10038;887
10039;508
10040;284
10040;417
10040;466
10041;233
10056;792
10057;792
10058;792
10059;792
10083;792
10084;792
10085;792
10086;792
10102;121
10102;202
10102;253
10102;302
10102;35
10102;36
10102;466
10102;838
10102;910
10102;920
10102;930
10102;940
10102;950
10102;951
10103;121
10103;18
10103;19
10103;20
10103;202
10103;253
10103;27
10103;302
10103;36
10103;466
10103;811
10103;838
10103;910
10103;920
10103;930
10103;940
10103;950
10104;121
10104;202
10104;253
10104;910
10104;920
10104;940
10104;950
10106;121
10106;202
10106;253
10106;910
10106;920
10106;940
10106;950
10107;121
10107;253
10107;920
10108;121
10108;253
10108;920
10109;121
10109;253
10109;920
10110;121
10110;253
10110;920
10111;121
10111;253
10111;920
10112;121
10112;202
10112;253
10112;910
10112;920
10112;940
10112;950
10117;23
10117;35
10117;811
10117;930
10117;940
10117;951
10119;104
10119;105
10119;171
10119;285
10119;35
10119;374
10119;465
10119;471
10119;484
10119;485
10119;72
10119;811
10121;234
10121;302
10121;41
10121;42
10121;44
10121;45
10121;46
10121;811
10121;951
10123;34
10123;35
10123;36
10123;39
10123;466
10123;811
10123;838
10124;234
10124;34
10124;39
10124;41
10124;42
10124;44
10124;45
10124;46
10126;302
10126;35
10126;36
10126;466
10126;838
10126;930
10126;951
10128;302
10128;35
10128;36
10128;466
10128;811
10128;838
10128;951
10130;41
10130;42
10131;46
10132;34
10133;44
10134;517
10134;681
10134;879
10134;950
10135;517
10135;681
10135;811
10135;879
10135;950
10136;45
10145;10
10145;253
10145;302
10145;951
10146;10
10146;121
10146;253
10146;302
10146;35
10146;811
10146;951
10147;10
10147;253
10147;302
10147;951
10148;10
10148;121
10148;253
10148;302
10148;35
10148;811
10148;951
10149;10
10150;10
10151;10
10152;10
10153;10
10154;10
10155;10
10156;10
10157;10
10158;10
10160;10
10161;10
10162;10
10163;10
10164;10
10165;10
10166;10
10167;10
10168;10
10169;10
10170;10
10171;10
10172;10
10173;10
10175;10
10177;10
10177;17
10177;202
10177;24
10177;25
10177;480
10177;486
10177;5
10177;510
10177;6
