route_1,route_2,common_stop_count
10,121,2
10,152,1
10,167,1
10,17,2
10,202,4
10,233,1
10,24,4
10,25,5
10,253,4
10,284,1
10,302,4
10,305,1
10,311,1
10,321,1
10,35,2
10,417,1
10,480,4
10,486,3
10,5,4
10,508,1
10,510,4
10,551,1
10,6,4
10,650,5
10,671,2
10,675,1
10,684,1
10,690,2
10,7,4
10,8,1
10,811,2
10,82,1
10,873,2
10,883,1
10,887,1
10,909,1
10,945,3
10,946,2
10,951,4
10,969,1
10,971,1
10,975,1
10,977,5
10,981,1
10,982,1
10,983,1
10,984,1
10,985,1
10,987,1
102,121,1
102,125,1
102,140,1
102,147,1
102,148,1
102,154,1
102,168,6
102,200,1
102,213,1
102,214,10
102,240,1
102,249,10
102,290,1
102,330,8
102,335,1
102,338,7
102,359,9
102,364,1
102,418,1
102,426,1
102,434,1
102,475,1
102,477,1
102,498,17
102,501,28
102,502,37
102,503,22
102,504,29
102,513,22
102,515,11
102,53,1
102,534,2
102,539,9
102,54,1
102,543,20
102,555,2
102,557,14
102,560,1
102,564,1
102,577,1
102,598,15
102,599,22
102,602,1
102,608,1
102,660,1
102,662,32
102,699,17
102,77,1
102,78,1
102,800,1
102,912,1
102,920,1
102,930,11
102,963,4
104,105,13
104,15,1
104,152,1
104,157,2
104,171,14
104,176,6
104,177,6
104,18,2
104,19,2
104,193,2
104,20,2
104,206,17
104,21,1
104,224,2
104,23,4
104,233,10
104,234,9
104,27,2
104,284,31
104,285,55
104,29,2
104,30,2
104,303,11
104,304,19
104,32,2
104,33,3
104,35,1
104,353,3
104,374,30
104,441,1
104,465,21
104,470,33
104,471,21
104,472,5
104,475,1
104,476,19
104,484,13
104,485,15
104,490,27
104,508,1
104,515,22
104,536,18
104,550,1
104,587,1
104,588,1
104,671,1
104,676,18
104,680,2
104,681,1
104,691,2
104,72,17
104,805,18
104,811,2
104,866,41
104,869,21
104,871,1
104,874,14
104,875,36
104,876,8
104,878,5
104,887,1
104,910,2
104,940,39
104,950,2
105,15,1
105,152,1
105,157,2
105,171,33
105,18,2
105,19,2
105,193,2
105,20,2
105,21,1
105,224,2
105,23,4
105,233,20
105,234,9
105,27,2
105,285,13
105,29,2
105,30,2
105,32,2
105,33,3
105,35,1
105,374,13
105,417,20
105,465,13
105,470,9
105,471,13
105,484,23
105,485,12
105,490,3
105,508,1
105,550,1
105,587,1
105,588,1
105,671,10
105,680,2
105,681,1
105,691,2
105,72,14
105,74,4
105,805,19
105,811,2
105,887,1
105,910,2
105,940,11
105,950,2
108,124,2
108,152,9
108,156,9
108,157,8
108,16,1
108,18,2
108,19,2
108,200,3
108,21,1
108,27,8
108,490,6
108,508,9
108,522,2
108,523,1
108,524,1
108,539,3
108,550,2
108,556,2
108,575,1
108,579,1
108,587,2
108,588,2
108,681,1
108,691,6
108,823,2
108,84,2
108,887,9
108,89,2
108,910,9
108,92,14
108,950,2
111,114,4
111,314,7
111,317,21
111,67,16
111,949,6
111,966,21
111,988,21
114,314,14
114,317,4
114,565,1
114,566,1
114,584,1
114,585,1
114,67,4
114,949,1
114,966,5
114,988,4
117,153,11
117,154,4
117,214,11
117,249,11
117,277,4
117,302,29
117,317,35
117,364,11
117,367,36
117,418,7
117,44,7
117,45,7
117,49,2
117,505,9
117,53,16
117,54,11
117,560,16
117,564,5
117,57,27
117,58,17
117,59,11
117,60,47
117,64,35
117,662,11
117,699,11
119,153,2
119,154,1
119,204,2
119,214,2
119,249,2
119,259,3
119,290,1
119,390,2
119,505,16
119,515,2
119,53,19
119,533,1
119,539,2
119,54,25
119,543,2
119,555,25
119,558,1
119,57,19
119,59,5
119,662,2
