stop_id,stop_name,route_1,route_2
10007,Bahribaba,29,30
10016,Bahribaba,21,910
10016,Bahribaba,21,920
10016,Bahribaba,21,930
10016,Bahribaba,21,940
10016,Bahribaba,21,950
10016,Bahribaba,910,920
10016,Bahribaba,910,930
10016,Bahribaba,910,940
10016,Bahribaba,910,950
10016,Bahribaba,920,930
10016,Bahribaba,920,940
10016,Bahribaba,920,950
10016,Bahribaba,930,940
10016,Bahribaba,930,950
10016,Bahribaba,940,950
10019,Bahribaba,121,253
10019,Bahribaba,121,811
10019,Bahribaba,253,811
10021,Bahribaba,35,951
10030,Konak,303,304
10036,Konak,104,171
10036,Konak,104,465
10036,Konak,104,471
10036,Konak,171,465
10036,Konak,171,471
10036,Konak,465,471
10037,Konak,484,485
10038,Konak,152,887
10040,Konak,284,417
10040,Konak,284,466
10040,Konak,417,466
10102,İskele,121,202
10102,İskele,121,253
10102,İskele,121,302
10102,İskele,121,35
10102,İskele,121,36
10102,İskele,121,466
10102,İskele,121,838
10102,İskele,121,910
10102,İskele,121,920
10102,İskele,121,930
10102,İskele,121,940
10102,İskele,121,950
10102,İskele,121,951
10102,İskele,202,253
10102,İskele,202,302
10102,İskele,202,35
10102,İskele,202,36
10102,İskele,202,466
10102,İskele,202,838
10102,İskele,202,910
10102,İskele,202,920
10102,İskele,202,930
10102,İskele,202,940
10102,İskele,202,950
10102,İskele,202,951
10102,İskele,253,302
10102,İskele,253,35
10102,İskele,253,36
10102,İskele,253,466
10102,İskele,253,838
10102,İskele,253,910
10102,İskele,253,920
10102,İskele,253,930
10102,İskele,253,940
10102,İskele,253,950
10102,İskele,253,951
10102,İskele,302,35
10102,İskele,302,36
10102,İskele,302,466
10102,İskele,302,838
10102,İskele,302,910
10102,İskele,302,920
10102,İskele,302,930
10102,İskele,302,940
10102,İskele,302,950
10102,İskele,302,951
10102,İskele,35,36
10102,İskele,35,466
10102,İskele,35,838
10102,İskele,35,910
10102,İskele,35,920
10102,İskele,35,930
10102,İskele,35,940
10102,İskele,35,950
10102,İskele,35,951
10102,İskele,36,466
10102,İskele,36,838
10102,İskele,36,910
10102,İskele,36,920
10102,İskele,36,930
10102,İskele,36,940
10102,İskele,36,950
10102,İskele,36,951
10102,İskele,466,838
10102,İskele,466,910
10102,İskele,466,920
10102,İskele,466,930
10102,İskele,466,940
10102,İskele,466,950
10102,İskele,466,951
10102,İskele,838,910
10102,İskele,838,920
10102,İskele,838,930
10102,İskele,838,940
10102,İskele,838,950
10102,İskele,838,951
10102,İskele,910,920
10102,İskele,910,930
10102,İskele,910,940
10102,İskele,910,950
10102,İskele,910,951
10102,İskele,920,930
10102,İskele,920,940
10102,İskele,920,950
10102,İskele,920,951
10102,İskele,930,940
10102,İskele,930,950
10102,İskele,930,951
10102,İskele,940,950
10102,İskele,940,951
10102,İskele,950,951
10103,Belediye Sarayı,121,18
10103,Belediye Sarayı,121,19
10103,Belediye Sarayı,121,20
10103,Belediye Sarayı,121,202
10103,Belediye Sarayı,121,253
10103,Belediye Sarayı,121,27
10103,Belediye Sarayı,121,302
10103,Belediye Sarayı,121,36
10103,Belediye Sarayı,121,466
10103,Belediye Sarayı,121,811
10103,Belediye Sarayı,121,838
10103,Belediye Sarayı,121,910
10103,Belediye Sarayı,121,920
10103,Belediye Sarayı,121,930
10103,Belediye Sarayı,121,940
10103,Belediye Sarayı,121,950
10103,Belediye Sarayı,18,19
10103,Belediye Sarayı,18,20
10103,Belediye Sarayı,18,202
10103,Belediye Sarayı,18,253
10103,Belediye Sarayı,18,27
10103,Belediye Sarayı,18,302
10103,Belediye Sarayı,18,36
10103,Belediye Sarayı,18,466
10103,Belediye Sarayı,18,811
10103,Belediye Sarayı,18,838
10103,Belediye Sarayı,18,910
10103,Belediye Sarayı,18,920
10103,Belediye Sarayı,18,930
10103,Belediye Sarayı,18,940
10103,Belediye Sarayı,18,950
10103,Belediye Sarayı,19,20
10103,Belediye Sarayı,19,202
10103,Belediye Sarayı,19,253
10103,Belediye Sarayı,19,27
10103,Belediye Sarayı,19,302
10103,Belediye Sarayı,19,36
10103,Belediye Sarayı,19,466
10103,Belediye Sarayı,19,811
10103,Belediye Sarayı,19,838
10103,Belediye Sarayı,19,910
10103,Belediye Sarayı,19,920
10103,Belediye Sarayı,19,930
10103,Belediye Sarayı,19,940
10103,Belediye Sarayı,19,950
10103,Belediye Sarayı,20,202
10103,Belediye Sarayı,20,253
10103,Belediye Sarayı,20,27
10103,Belediye Sarayı,20,302
10103,Belediye Sarayı,20,36
10103,Belediye Sarayı,20,466
10103,Belediye Sarayı,20,811
10103,Belediye Sarayı,20,838
10103,Belediye Sarayı,20,910
10103,Belediye Sarayı,20,920
10103,Belediye Sarayı,20,930
10103,Belediye Sarayı,20,940
10103,Belediye Sarayı,20,950
10103,Belediye Sarayı,202,253
10103,Belediye Sarayı,202,27
10103,Belediye Sarayı,202,302
10103,Belediye Sarayı,202,36
10103,Belediye Sarayı,202,466
10103,Belediye Sarayı,202,811
10103,Belediye Sarayı,202,838
10103,Belediye Sarayı,202,910
10103,Belediye Sarayı,202,920
10103,Belediye Sarayı,202,930
10103,Belediye Sarayı,202,940
10103,Belediye Sarayı,202,950
10103,Belediye Sarayı,253,27
10103,Belediye Sarayı,253,302
10103,Belediye Sarayı,253,36
10103,Belediye Sarayı,253,466
10103,Belediye Sarayı,253,811
10103,Belediye Sarayı,253,838
10103,Belediye Sarayı,253,910
10103,Belediye Sarayı,253,920
10103,Belediye Sarayı,253,930
10103,Belediye Sarayı,253,940
10103,Belediye Sarayı,253,950
10103,Belediye Sarayı,27,302
10103,Belediye Sarayı,27,36
