route_number,stop_count
10,37
102,43
104,104
105,63
108,29
111,31
114,19
117,87
119,78
121,77
123,40
124,49
125,82
126,48
128,57
135,60
136,64
137,54
140,44
147,57
148,57
149,49
15,18
152,71
153,37
154,27
156,42
157,54
16,55
167,17
168,62
17,27
171,80
176,145
177,78
18,49
19,42
193,66
196,41
197,66
20,52
200,100
202,39
204,26
206,57
207,5
21,18
212,4
213,19
214,60
221,32
222,32
224,70
229,69
23,54
232,16
233,66
234,44
24,49
240,60
247,56
249,96
25,22
253,28
258,53
259,30
267,72
268,41
27,54
277,88
28,46
284,79
285,91
29,18
290,46
295,45
30,18
302,47
303,20
304,46
305,36
311,50
313,14
314,47
315,26
316,71
317,65
32,24
321,149
322,45
326,78
327,30
328,32
329,48
33,27
330,54
335,56
338,40
34,41
342,47
344,45
346,36
35,35
353,107
358,83
359,42
36,29
361,33
364,48
365,69
367,93
368,47
374,62
39,34
390,15
41,20
412,20
417,50
418,43
42,39
423,36
426,75
428,87
429,54
430,102
434,48
435,35
44,34
441,42
442,62
443,58
445,52
446,62
447,52
449,26
45,26
46,43
465,59
466,37
468,25
470,58
471,60
472,70
475,52
476,81
477,58
480,52
481,47
483,7
484,52
485,54
486,31
487,37
49,14
490,53
491,78
498,59
5,50
501,36
502,66
503,53
504,38
505,50
508,86
510,61
513,51
515,91
516,23
517,82
520,65
522,75
523,61
524,73
529,61
53,47
532,44
533,8
534,24
535,48
536,42
537,74
539,62
54,53
543,46
547,45
550,41
551,73
555,38
556,56
557,44
558,18
559,69
560,71
564,45
565,37
566,31
568,77
57,50
570,62
575,42
577,69
579,38
58,27
584,37
585,69
587,49
588,59
59,73
595,53
596,11
597,39
598,76
599,71
6,52
60,81
602,112
608,106
609,94
610,17
611,104
616,75
618,52
619,30
621,93
64,58
640,84
641,57
642,89
643,59
644,87
645,79
646,85
648,111
650,29
651,101
652,108
653,91
656,37
657,91
658,55
660,199
661,83
662,74
664,58
665,26
666,45
668,39
67,65
671,66
675,104
676,68
678,35
679,39
680,44
681,44
684,33
690,18
691,74
692,23
693,40
694,14
695,51
697,400
698,54
699,86
7,62
701,220
705,78
707,108
709,64
710,28
712,178
713,63
714,92
715,85
719,79
72,50
721,104
722,117
724,77
727,188
728,61
729,166
732,170
733,89
734,66
737,107
738,87
74,60
741,49
742,74
743,128
744,101
745,69
746,44
747,71
748,89
749,114
750,174
751,50
752,50
753,49
754,95
755,74
756,138
757,77
758,49
759,74
760,137
761,215
762,96
763,131
766,99
767,151
768,93
769,84
77,72
770,103
772,57
774,115
775,239
776,158
777,65
778,125
78,60
780,101
781,81
782,119
783,85
784,155
785,152
786,135
787,84
788,130
789,85
790,45
791,40
792,140
793,86
794,60
795,229
796,144
798,155
799,75
8,118
800,108
801,94
803,120
804,43
805,50
806,384
808,86
810,43
811,50
812,20
814,75
816,88
817,44
818,55
82,128
820,71
821,37
823,55
826,67
827,74
828,122
829,217
831,85
832,80
833,78
834,57
835,124
836,92
837,145
838,46
839,28
84,47
842,57
847,51
848,58
849,70
850,38
853,57
858,294
865,58
866,70
868,55
869,32
871,36
873,46
874,56
875,74
876,48
877,82
878,45
879,92
882,67
883,35
887,56
889,48
89,27
891,44
9,103
906,195
909,105
910,86
912,45
92,56
920,94
930,59
935,74
936,187
940,63
945,25
946,28
949,60
950,94
951,37
961,84
962,100
963,34
966,58
967,97
969,28
971,59
975,194
976,126
977,27
978,202
979,59
981,218
982,166
983,158
984,161
985,199
986,125
987,264
988,83
989,190
990,79
991,97
