stop_id,stop_name,route_count
11464,1 Nolu Sağlık Ocağı,11
11465,1 Nolu Sağlık Ocağı,11
24331,100.Yıl İlkokulu,1
24332,100.Yıl İlkokulu,1
23841,112 Acil Yardım,1
23842,112 Acil Yardım,1
30330,112 Acil Çağrı Merkezi Müdürlüğü,2
23388,13.Nis,1
23389,13.Nis,1
20079,15 Temmuz Şehitler Anadolu Lisesi,9
20080,15 Temmuz Şehitler Anadolu Lisesi,8
12633,2 Nolu Çağdaş Kahraman Sağlık Ocağı,3
12634,2 Nolu Çağdaş Kahraman Sağlık Ocağı,3
32309,2. Etap,3
32310,2. Etap,3
11242,23.Nis,1
11243,23.Nis,1
10390,26 Ağustos Kapısı,2
10391,26 Ağustos Kapısı,1
40219,30 Ağustos İlköğretim Okulu,3
40220,30 Ağustos İlköğretim Okulu,3
21489,35 Evleri,1
21490,35 Evleri,1
23974,4. Cadde,2
23975,4. Cadde,2
32354,4. Etap,4
32355,4. Etap,4
32143,4. Sanayi Ege,1
32144,4. Sanayi Ege,1
32140,4. Sanayi Güven,1
32147,4. Sanayi Güven,1
32141,4. Sanayi Trafo,1
32146,4. Sanayi Trafo,1
32356,5. Etap,4
32357,5. Etap,4
32373,5. Etap Alt Yol,4
32358,5. Etap Üst Yol,2
32359,5. Etap Üst Yol,2
32366,6. Etap,2
32367,6. Etap,2
32364,6. Etap Tepe,2
32365,6. Etap Tepe,2
16787,7 Eylül,1
16788,7 Eylül,1
11691,7 Nolu Sağlık Ocağı,4
11692,7 Nolu Sağlık Ocağı,4
11830,7 Nolu Sağlık Ocağı,2
11831,7 Nolu Sağlık Ocağı,2
32360,7. Etap,2
32361,7. Etap,2
32362,7. Etap Tepe,2
32363,7. Etap Tepe,2
23987,8. Etap,4
32368,8. Etap,2
32369,8. Etap Alt Yol,2
21059,9 Eylül,3
21062,9 Eylül,3
21519,9 Eylül Muhtarlık,4
21520,9 Eylül Muhtarlık,4
23803,95 Evler,1
23933,95 Evler,1
16801,Acarlar,1
16802,Acarlar,1
20820,Acer,3
20821,Acer,3
32348,Acil,10
16791,Acil Servis,1
16792,Acil Servis,1
23301,Ada,4
23302,Ada,4
32323,Ada,1
32324,Ada,1
41345,Ada,2
41346,Ada,2
52076,Ada,1
52077,Ada,1
50542,Ada Hastanesi,1
50545,Ada Hastanesi Giriş,1
30299,Adalet Mahallesi,6
30300,Adalet Mahallesi,6
40574,Adatepe,4
40579,Adatepe,1
41205,Adatepe Park,3
41208,Adatepe Park,3
40581,Adatepe Son Durak,3
41387,Adatepe Son Durak,3
41207,Adatepe Villaları,3
41210,Adatepe Villaları,3
40582,Adatepe Üçgen Park,4
40583,Adatepe Üçgen Park,1
24267,Adem Saatçi Ortaokulu,1
24268,Adem Saatçi Ortaokulu,1
12007,Adem Yavuz,2
12008,Adem Yavuz,2
12011,Adem Yavuz Parkı,2
12012,Adem Yavuz Parkı,2
30991,Adil Akçamlı,6
30992,Adil Akçamlı,5
31474,Adil Demir Sitesi,6
31475,Adil Demir Sitesi,6
13114,Adil İçel İlkokulu,1
13115,Adil İçel İlkokulu,1
40714,Adile Naşit Parkı,1
40715,Adile Naşit Parkı,1
30279,Adliye,17
30280,Adliye,16
30595,Adliye Lojmanları,4
30596,Adliye Lojmanları,4
20993,Adliyeciler Sitesi,3
20994,Adliyeciler Sitesi,3
41434,Adnan Kahveci,1
41435,Adnan Kahveci,1
40431,Adnan Kahveci Parkı,2
40432,Adnan Kahveci Parkı,2
16516,Adnan Menderes,1
20253,Adnan Menderes Anadolu Lisesi,1
20258,Adnan Menderes Anadolu Lisesi,1
12965,Adnan Menderes İlkokulu,3
12966,Adnan Menderes İlkokulu,3
10175,Adnan Saygun Sanat Merkezi,1
10178,Adnan Saygun Sanat Merkezi,14
10199,Adnan Saygun Sanat Merkezi,15
16517,Adnan menderes,1
32307,Afet Haberleşme,3
32308,Afet Haberleşme,3
40562,Afetevleri,1
40563,Afetevleri,1
30818,Ahmallı,1
30819,Ahmallı,1
11112,Ahmet Beyli Çiftlik,1
11113,Ahmet Beyli Çiftlik,1
52627,Ahmet Hakkı Balcıoğlu Mesleki Anadolu Lises,3
52626,Ahmet Hakkı Balcıoğlu Mesleki Anadolu Lisesi,3
15515,Ahmet Hamdi Tanpınar,1
15516,Ahmet Hamdi Tanpınar,1
10705,Ahmet Necdet Sezer,1
10706,Ahmet Necdet Sezer,1
12315,Ahmet Ragıp Üzümcü İlkokulu,4
12316,Ahmet Ragıp Üzümcü İlkokulu,4
22547,Ahmet Taner Kışlalı,3
22548,Ahmet Taner Kışlalı,3
23395,Ahmet Taner Kışlalı Parkı,4
22083,Ahmet Yesevi,2
22084,Ahmet Yesevi,2
21246,Ahmet Yesevi Cami,2
21247,Ahmet Yesevi Cami,2
40764,Ahmet Yesevi Öğrenci Yurdu,2
40765,Ahmet Yesevi Öğrenci Yurdu,2
24336,Ahmetbeyler,1
24337,Ahmetbeyler,1
24498,Ahmetbeyler Benzinlik,1
24499,Ahmetbeyler Cami,1
24500,Ahmetbeyler Cami,1
11000,Ahmetbeyli Cami,1
11001,Ahmetbeyli Cami,1
11158,Ahmetbeyli Jandarma,1
11159,Ahmetbeyli Jandarma,1
11165,Ahmetbeyli Kahveler,1
11328,Ahmetbeyli Kahveler,1
10998,Ahmetbeyli Market,1
10999,Ahmetbeyli Market,1
16407,Ahmetbeyli Yolayrımı,1
16408,Ahmetbeyli Yolayrımı,1
11002,Ahmetbeyli Çeşme,1
11003,Ahmetbeyli Çeşme,1
11673,Ahmetbeyli Çiftlik Evleri,1
11674,Ahmetbeyli Çiftlik Evleri,1
13846,Ahmetli,1
13847,Ahmetli,1
15458,Ahmetli Zeytinlik,1
15459,Ahmetli Zeytinlik,1
13894,Ahmetli Çamlık,1
13895,Ahmetli Çamlık,1
13861,Ahmetli Çıkış,1
13864,Ahmetli Çıkış,1
22509,Ahıska,3
22510,Ahıska,3
23666,Ahıskakent ilkokulu,3
23665,Ahıskakent İlkokulu,3
21921,Ahşap Ev,2
21922,Ahşap Ev,2
16708,Aile Sağlığı Merkezi,1
16709,Aile Sağlığı Merkezi,1
31559,Akalan Köy İçi,1
31560,Akalan Köy İçi,1
31592,Akalan Park,2
31595,Akalan Park,2
31586,Akalan Sütçüler Okul,2
31589,Akalan Sütçüler Okul,2
32441,Akalan Yan Yol,2
32442,Akalan Yan Yol,2
31590,Akalan Yol Ayrımı,1
31593,Akalan Yol Ayrımı,1
32398,Akalan Çiftlik,2
32399,Akalan Çiftlik,2
13554,Akarca,4
13557,Akarca,4
52400,Akarca Adakent Sitesi,1
52401,Akarca Adakent Sitesi,1
52430,Akarca Balköy,1
52431,Akarca Balköy,1
52404,Akarca Balıkçı Barınağı,1
52405,Akarca Balıkçı Barınağı,1
52445,Akarca Dörtyol,1
52446,Akarca Dörtyol,1
52398,Akarca Elitkent Sitesi,1
52399,Akarca Elitkent Sitesi,1
52418,Akarca Elmastaş Sitesi,1
52419,Akarca Elmastaş Sitesi,1
52432,Akarca Esenevler,1
52433,Akarca Esenevler,1
52410,Akarca Giriş,1
52411,Akarca Giriş,1
52422,Akarca Halk Plajı,1
52423,Akarca Halk Plajı,1
52406,Akarca Kervansaray,1
52407,Akarca Kervansaray,1
52416,Akarca Manzara,1
52417,Akarca Manzara,1
52408,Akarca Otel,1
52409,Akarca Otel,1
52414,Akarca Sahil,1
52415,Akarca Sahil,1
52420,Akarca Seyir,1
52421,Akarca Seyir,1
52412,Akarca Siteler,1
52413,Akarca Siteler,1
52436,Akarca Son Durak,1
52392,Akarca Tuzla,1
52393,Akarca Tuzla,1
52441,Akarca İltur Sitesi,1
52442,Akarca İltur Sitesi,1
52402,Akarca İşcan Sitesi,1
52403,Akarca İşcan Sitesi,1
40330,Akasma,2
40331,Akasma,2
13070,Akasya,1
13071,Akasya,1
16343,Akasya,1
20755,Akasya,2
20756,Akasya,2
24036,Akasya,3
24037,Akasya,3
30046,Akasya,3
41066,Akasya,1
41067,Akasya,1
51294,Akasya,1
51295,Akasya,1
40560,Akasyalar,1
40561,Akasyalar,1
51583,Akburun,1
51584,Akburun,1
31387,Akdemir Parkı,3
31388,Akdemir Parkı,3
32424,Akevler,2
32425,Akevler,2
31540,Akgül,1
31541,Akgül,1
50734,Akgün Sitesi,2
50735,Akgün Sitesi,2
24004,Akif Ersezgin Lisesi,3
24005,Akif Ersezgin Lisesi,2
20985,Akiş Öğütçü İlköğretim Okulu,3
20986,Akiş Öğütçü İlköğretim Okulu,3
11693,Akkoca Tavuk Çiftliği,4
11694,Akkoca Tavuk Çiftliği,4
15238,Akkoyunlu,1
15239,Akkoyunlu,1
15982,Akkoyunlu Mezarlık,1
15983,Akkoyunlu Mezarlık,1
23261,Akkoç,4
23262,Akkoç,4
51075,Akkum Yolu,1
51076,Akkum Yolu,1
13882,Akkız,1
13883,Akkız,1
40824,Akmeşe,4
40825,Akmeşe,4
10822,Aksan,6
10823,Aksan,6
21640,Aksu,2
21641,Aksu,2
30613,Aktar,3
30614,Aktar,3
12648,Aktaş Cami,1
12649,Aktaş Cami,1
21658,Aktaşlar,3
21659,Aktaşlar,3
10656,Aktepe,14
10657,Aktepe,14
12718,Aktepe Cami,4
12721,Aktepe Cami,4
13338,Aktepe Giriş,3
13339,Aktepe Giriş,3
14603,Aktepe Meşe,2
14604,Aktepe Meşe,2
12722,Aktepe Polis Lojmanları,3
12725,Aktepe Polis Lojmanları,3
12922,Akyüz,2
12923,Akyüz,2
50629,Akça,3
50634,Akça,3
11104,Akçaalan,5
11123,Akçaalan,5
20818,Akçaağaç,2
20819,Akçaağaç,2
13919,Akçaköy,2
13917,Akçaköy  İncir Fabrikası,2
13918,Akçaköy  İncir Fabrikası,2
13499,Akçaköy Yol Ayrımı,3
13500,Akçaköy Yol Ayrımı,3
16647,Akçaköy Yolu,2
16648,Akçaköy Yolu,2
10679,Akçay,9
16153,Akçaşehir,1
16154,Akçaşehir,1
30866,Akçeşme,1
30869,Akçeşme,1
24142,Akıncılar Bayır,1
40142,Akıncılar Cami,6
40143,Akıncılar Cami,6
40145,Akıncılar Merkez,6
40146,Akıncılar Merkez,6
40586,Akşemsettin İlkokulu,3
40587,Akşemsettin İlkokulu,3
40826,Alan,2
40828,Alan,2
21821,Alan Çiftliği,1
21822,Alan Çiftliği,1
24177,Alaniçi Giriş,1
24178,Alaniçi Giriş,1
23579,Alaniçi Meydan,1
23580,Alaniçi Meydan,1
23577,Alaniçi Yol Ayrımı,1
23578,Alaniçi Yol Ayrımı,1
23581,Alaniçi Çıkış,1
23582,Alaniçi Çıkış,1
16720,Alanköy,1
16721,Alanköy,1
16836,Alankıyı Bahçe,1
16837,Alankıyı Bahçe,1
16554,Alankıyı Dörtyol,1
16555,Alankıyı Dörtyol,1
16494,Alankıyı Giriş,1
16495,Alankıyı Giriş,1
16496,Alankıyı Meydan,1
14092,Alankıyı Yol Ayrımı,1
14093,Alankıyı Yol Ayrımı,1
16556,Alankıyı Yolu,1
16557,Alankıyı Yolu,1
16122,Alaylı Yolu,1
16123,Alaylı Yolu,1
51767,Alaçatı Atatürk,2
51768,Alaçatı Atatürk,2
51777,Alaçatı Dostluk,2
51778,Alaçatı Dostluk,2
51775,Alaçatı Güneş,2
51776,Alaçatı Güneş,2
51817,Alaçatı Mavi,2
51818,Alaçatı Mavi,2
51813,Alaçatı Sanayi,2
51814,Alaçatı Sanayi,2
51771,Alaçatı Stadı,2
51772,Alaçatı Stadı,2
51773,Alaçatı Çamlı,2
51774,Alaçatı Çamlı,2
51815,Alaçatı Çiçek,2
51816,Alaçatı Çiçek,2
14977,Alaşarlı,4
14978,Alaşarlı,4
16294,Alaşarlı Giriş,1
16299,Alaşarlı Meydan,1
20360,Albatros,3
20361,Albatros,3
15621,Albay Mustafa Mümin Aksoy,1
12934,Albay İbrahim Karaoğlanoğlu,2
12935,Albay İbrahim Karaoğlanoğlu,2
22049,Albayrak Mavişehir Evleri,3
22058,Albayrak Mavişehir Evleri,3
12705,Ali Akatlar,1
12712,Ali Akatlar,1
41114,Ali Fuat Cebesoy İlkokulu,2
41115,Ali Fuat Cebesoy İlkokulu,1
12538,Ali Fuat Erdem,1
15624,Ali Fuat Erden,1
15615,Ali Fuat Erden Mahallesi,1
16086,Ali Fuat Erden Mahallesi,1
12468,Ali Fuat Erden Mahallesi Muhtarlığı,5
12469,Ali Fuat Erden Mahallesi Muhtarlığı,6
16085,Ali Fuat Erden Son Durak,1
40243,Ali Kuşçu İlkokulu,2
40244,Ali Kuşçu İlkokulu,2
40757,Ali Rıza Efendi İlkokulu,2
40758,Ali Rıza Efendi İlkokulu,2
31423,Ali Rıza Güven Cami,4
31424,Ali Rıza Güven Cami,4
24082,Ali Rıza İlkokulu,1
31241,Ali İhsan Bey,3
31242,Ali İhsan Bey,3
23393,Aliağa 80. Yıl Lisesi,4
23920,Aliağa Balıkçı Barınağı,2
23921,Aliağa Balıkçı Barınağı,2
23845,Aliağa Cumhuriyet İ.Ö.,1
23378,Aliağa Devlet Hastanesi,1
23379,Aliağa Devlet Hastanesi,1
23903,Aliağa Kamyon Garajı,1
23904,Aliağa Kamyon Garajı,1
22743,Aliağa Liman,3
22746,Aliağa Liman,3
23911,Aliağa Mesleki ve Teknik Anadolu Lisesi,1
23912,Aliağa Mesleki ve Teknik Anadolu Lisesi,1
24461,Aliağa OSB Son Durak,1
22843,Aliağa Organize Sanayi Yol Ayrımı,4
