route_1,route_2,common_stop_count,common_stop_rank
697,806,347,1
975,985,187,2
697,858,165,3
806,858,163,4
727,858,160,5
975,987,160,5
985,987,159,6
697,795,157,7
795,806,157,7
981,982,141,8
975,983,124,9
983,985,124,9
983,987,124,9
760,906,122,10
835,936,114,11
697,796,113,12
981,984,109,13
982,984,109,13
986,987,106,14
602,660,105,15
602,800,105,15
675,975,103,16
721,763,102,17
321,983,101,18
803,806,101,18
675,985,99,19
909,981,99,19
909,982,99,19
909,984,99,19
660,800,98,20
321,82,97,21
761,978,96,22
721,786,94,23
8,82,94,23
721,785,93,24
763,786,93,24
763,785,92,25
701,722,90,26
8,975,90,26
8,983,90,26
8,985,90,26
8,987,90,26
321,975,89,27
321,985,89,27
321,987,89,27
701,712,89,27
785,786,89,27
829,989,88,28
729,792,87,29
611,796,86,30
986,989,86,30
727,795,84,31
761,981,83,32
796,803,83,32
909,983,82,33
321,8,81,34
82,909,81,34
82,975,81,34
82,981,81,34
82,982,81,34
82,983,81,34
82,984,81,34
82,985,81,34
82,987,81,34
909,975,81,34
909,985,81,34
909,987,81,34
975,981,81,34
975,982,81,34
975,984,81,34
978,981,81,34
981,983,81,34
981,985,81,34
981,987,81,34
982,983,81,34
982,985,81,34
982,987,81,34
983,984,81,34
984,985,81,34
984,987,81,34
8,909,80,35
8,981,80,35
8,982,80,35
8,984,80,35
609,803,77,36
611,803,77,36
727,798,77,36
750,757,77,36
776,986,76,37
776,987,76,37
724,782,75,38
780,798,75,38
321,909,74,39
321,981,74,39
321,982,74,39
321,984,74,39
609,806,73,40
675,987,72,41
611,616,71,42
616,796,71,42
616,803,71,42
754,755,71,42
836,936,71,42
727,780,69,43
835,837,69,43
837,936,69,43
611,697,68,44
691,910,68,44
152,910,67,45
652,653,67,45
985,991,67,45
987,989,67,45
609,611,66,46
609,796,66,46
721,784,66,46
761,976,66,46
763,784,66,46
784,786,66,46
795,858,66,46
599,699,65,47
285,875,64,48
609,616,64,48
697,803,64,48
784,785,64,48
796,806,64,48
284,285,63,49
661,745,63,49
780,781,63,49
781,798,63,49
602,608,62,50
608,660,62,50
609,697,62,50
732,991,61,51
135,742,60,52
651,653,60,52
712,722,60,52
732,985,60,52
152,691,59,53
476,676,59,53
611,806,59,53
651,652,58,54
729,775,58,54
616,697,57,55
616,806,57,55
657,756,57,55
660,661,57,55
660,745,57,55
712,858,57,55
727,781,57,55
979,989,57,55
719,786,56,56
775,792,56,56
104,285,55,57
608,800,55,57
675,991,55,57
701,858,55,57
713,795,55,57
719,721,55,57
719,763,55,57
719,784,55,57
727,787,55,57
787,858,55,57
975,991,55,57
125,426,54,58
577,77,54,58
789,799,54,58
798,858,54,58
284,875,53,59
502,662,53,59
719,785,53,59
770,780,53,59
770,781,53,59
770,798,53,59
831,832,53,59
125,326,52,60
229,529,52,60
727,788,52,60
788,858,52,60
835,842,52,60
648,748,51,61
697,712,51,61
712,806,51,61
729,794,51,61
792,794,51,61
477,77,50,62
503,513,50,62
503,599,50,62
513,599,50,62
560,60,50,62
713,719,50,62
713,721,50,62
713,763,50,62
713,784,50,62
713,786,50,62
729,776,50,62
767,967,50,62
775,776,50,62
775,794,50,62
776,792,50,62
776,794,50,62
249,568,49,63
713,785,49,63
719,795,49,63
721,795,49,63
737,978,49,63
763,795,49,63
784,795,49,63
785,795,49,63
786,795,49,63
831,833,49,63
832,833,49,63
551,950,48,64
608,820,48,64
675,732,48,64
697,701,48,64
701,806,48,64
712,713,48,64
732,975,48,64
737,882,48,64
766,988,48,64
820,827,48,64
882,978,48,64
117,60,47,65
171,417,47,65
508,887,47,65
712,795,47,65
727,770,47,65
727,793,47,65
787,793,47,65
787,795,47,65
793,858,47,65
962,984,47,65
979,986,47,65
121,200,46,66
697,801,46,66
780,858,46,66
796,801,46,66
342,816,45,67
465,471,45,67
477,577,45,67
698,748,45,67
712,719,45,67
775,778,45,67
842,936,45,67
128,428,44,68
168,249,44,68
197,77,44,68
321,9,44,68
503,699,44,68
513,699,44,68
697,727,44,68
712,721,44,68
712,763,44,68
712,784,44,68
712,786,44,68
749,826,44,68
776,778,44,68
835,849,44,68
837,849,44,68
849,936,44,68
152,887,43,69
168,568,43,69
502,598,43,69
658,748,43,69
712,785,43,69
882,982,43,69
152,508,42,70
285,374,42,70
295,820,42,70
508,808,42,70
645,646,42,70
727,806,42,70
737,760,42,70
737,906,42,70
778,986,42,70
778,987,42,70
782,795,42,70
789,829,42,70
799,804,42,70
828,889,42,70
104,866,41,71
374,874,41,71
470,490,41,71
5,6,41,71
760,761,41,71
761,906,41,71
799,829,41,71
853,920,41,71
9,962,41,71
200,508,40,72
428,827,40,72
5,7,40,72
557,598,40,72
6,7,40,72
609,621,40,72
618,796,40,72
618,803,40,72
645,835,40,72
701,709,40,72
104,940,39,73
