stop_id,stop_name,route_count
11464,1 Nolu Sağlık Ocağı,11
11465,1 Nolu Sağlık Ocağı,11
30330,112 Acil Çağrı Merkezi Müdürlüğü,2
20079,15 Temmuz Şehitler Anadolu Lisesi,9
20080,15 Temmuz Şehitler Anadolu Lisesi,8
12633,2 Nolu Çağdaş Kahraman Sağlık Ocağı,3
12634,2 Nolu Çağdaş Kahraman Sağlık Ocağı,3
32309,2. Etap,3
32310,2. Etap,3
10390,26 Ağustos Kapısı,2
40219,30 Ağustos İlköğretim Okulu,3
40220,30 Ağustos İlköğretim Okulu,3
23974,4. Cadde,2
23975,4. Cadde,2
32354,4. Etap,4
32355,4. Etap,4
32356,5. Etap,4
32357,5. Etap,4
32373,5. Etap Alt Yol,4
32358,5. Etap Üst Yol,2
32359,5. Etap Üst Yol,2
32366,6. Etap,2
32367,6. Etap,2
32364,6. Etap Tepe,2
32365,6. Etap Tepe,2
11691,7 Nolu Sağlık Ocağı,4
11692,7 Nolu Sağlık Ocağı,4
11830,7 Nolu Sağlık Ocağı,2
11831,7 Nolu Sağlık Ocağı,2
32360,7. Etap,2
32361,7. Etap,2
32362,7. Etap Tepe,2
32363,7. Etap Tepe,2
23987,8. Etap,4
32368,8. Etap,2
32369,8. Etap Alt Yol,2
21059,9 Eylül,3
21062,9 Eylül,3
21519,9 Eylül Muhtarlık,4
21520,9 Eylül Muhtarlık,4
20820,Acer,3
20821,Acer,3
32348,Acil,10
23301,Ada,4
23302,Ada,4
41345,Ada,2
41346,Ada,2
30299,Adalet Mahallesi,6
30300,Adalet Mahallesi,6
40574,Adatepe,4
41205,Adatepe Park,3
41208,Adatepe Park,3
40581,Adatepe Son Durak,3
41387,Adatepe Son Durak,3
41207,Adatepe Villaları,3
41210,Adatepe Villaları,3
40582,Adatepe Üçgen Park,4
12007,Adem Yavuz,2
12008,Adem Yavuz,2
12011,Adem Yavuz Parkı,2
12012,Adem Yavuz Parkı,2
30991,Adil Akçamlı,6
30992,Adil Akçamlı,5
31474,Adil Demir Sitesi,6
31475,Adil Demir Sitesi,6
30279,Adliye,17
30280,Adliye,16
30595,Adliye Lojmanları,4
30596,Adliye Lojmanları,4
20993,Adliyeciler Sitesi,3
20994,Adliyeciler Sitesi,3
40431,Adnan Kahveci Parkı,2
40432,Adnan Kahveci Parkı,2
12965,Adnan Menderes İlkokulu,3
12966,Adnan Menderes İlkokulu,3
10178,Adnan Saygun Sanat Merkezi,14
10199,Adnan Saygun Sanat Merkezi,15
32307,Afet Haberleşme,3
32308,Afet Haberleşme,3
52627,Ahmet Hakkı Balcıoğlu Mesleki Anadolu Lises,3
52626,Ahmet Hakkı Balcıoğlu Mesleki Anadolu Lisesi,3
12315,Ahmet Ragıp Üzümcü İlkokulu,4
12316,Ahmet Ragıp Üzümcü İlkokulu,4
22547,Ahmet Taner Kışlalı,3
22548,Ahmet Taner Kışlalı,3
23395,Ahmet Taner Kışlalı Parkı,4
22083,Ahmet Yesevi,2
22084,Ahmet Yesevi,2
21246,Ahmet Yesevi Cami,2
21247,Ahmet Yesevi Cami,2
40764,Ahmet Yesevi Öğrenci Yurdu,2
40765,Ahmet Yesevi Öğrenci Yurdu,2
22509,Ahıska,3
22510,Ahıska,3
23666,Ahıskakent ilkokulu,3
23665,Ahıskakent İlkokulu,3
21921,Ahşap Ev,2
21922,Ahşap Ev,2
31592,Akalan Park,2
31595,Akalan Park,2
31586,Akalan Sütçüler Okul,2
31589,Akalan Sütçüler Okul,2
32441,Akalan Yan Yol,2
32442,Akalan Yan Yol,2
32398,Akalan Çiftlik,2
32399,Akalan Çiftlik,2
13554,Akarca,4
13557,Akarca,4
40330,Akasma,2
40331,Akasma,2
20755,Akasya,2
20756,Akasya,2
24036,Akasya,3
24037,Akasya,3
30046,Akasya,3
31387,Akdemir Parkı,3
31388,Akdemir Parkı,3
32424,Akevler,2
32425,Akevler,2
50734,Akgün Sitesi,2
50735,Akgün Sitesi,2
24004,Akif Ersezgin Lisesi,3
24005,Akif Ersezgin Lisesi,2
20985,Akiş Öğütçü İlköğretim Okulu,3
20986,Akiş Öğütçü İlköğretim Okulu,3
11693,Akkoca Tavuk Çiftliği,4
11694,Akkoca Tavuk Çiftliği,4
23261,Akkoç,4
23262,Akkoç,4
40824,Akmeşe,4
40825,Akmeşe,4
10822,Aksan,6
10823,Aksan,6
21640,Aksu,2
21641,Aksu,2
30613,Aktar,3
30614,Aktar,3
21658,Aktaşlar,3
21659,Aktaşlar,3
10656,Aktepe,14
10657,Aktepe,14
12718,Aktepe Cami,4
12721,Aktepe Cami,4
13338,Aktepe Giriş,3
13339,Aktepe Giriş,3
14603,Aktepe Meşe,2
14604,Aktepe Meşe,2
12722,Aktepe Polis Lojmanları,3
12725,Aktepe Polis Lojmanları,3
12922,Akyüz,2
12923,Akyüz,2
50629,Akça,3
50634,Akça,3
11104,Akçaalan,5
11123,Akçaalan,5
20818,Akçaağaç,2
20819,Akçaağaç,2
13919,Akçaköy,2
13917,Akçaköy  İncir Fabrikası,2
13918,Akçaköy  İncir Fabrikası,2
13499,Akçaköy Yol Ayrımı,3
13500,Akçaköy Yol Ayrımı,3
16647,Akçaköy Yolu,2
16648,Akçaköy Yolu,2
10679,Akçay,9
40142,Akıncılar Cami,6
40143,Akıncılar Cami,6
40145,Akıncılar Merkez,6
40146,Akıncılar Merkez,6
40586,Akşemsettin İlkokulu,3
40587,Akşemsettin İlkokulu,3
40826,Alan,2
40828,Alan,2
51767,Alaçatı Atatürk,2
51768,Alaçatı Atatürk,2
51777,Alaçatı Dostluk,2
51778,Alaçatı Dostluk,2
51775,Alaçatı Güneş,2
51776,Alaçatı Güneş,2
51817,Alaçatı Mavi,2
51818,Alaçatı Mavi,2
51813,Alaçatı Sanayi,2
51814,Alaçatı Sanayi,2
51771,Alaçatı Stadı,2
51772,Alaçatı Stadı,2
51773,Alaçatı Çamlı,2
51774,Alaçatı Çamlı,2
51815,Alaçatı Çiçek,2
51816,Alaçatı Çiçek,2
14977,Alaşarlı,4
14978,Alaşarlı,4
20360,Albatros,3
20361,Albatros,3
12934,Albay İbrahim Karaoğlanoğlu,2
12935,Albay İbrahim Karaoğlanoğlu,2
22049,Albayrak Mavişehir Evleri,3
22058,Albayrak Mavişehir Evleri,3
41114,Ali Fuat Cebesoy İlkokulu,2
12468,Ali Fuat Erden Mahallesi Muhtarlığı,5
12469,Ali Fuat Erden Mahallesi Muhtarlığı,6
40243,Ali Kuşçu İlkokulu,2
40244,Ali Kuşçu İlkokulu,2
40757,Ali Rıza Efendi İlkokulu,2
40758,Ali Rıza Efendi İlkokulu,2
31423,Ali Rıza Güven Cami,4
31424,Ali Rıza Güven Cami,4
31241,Ali İhsan Bey,3
31242,Ali İhsan Bey,3
23393,Aliağa 80. Yıl Lisesi,4
23920,Aliağa Balıkçı Barınağı,2
23921,Aliağa Balıkçı Barınağı,2
22743,Aliağa Liman,3
22746,Aliağa Liman,3
22843,Aliağa Organize Sanayi Yol Ayrımı,4
22844,Aliağa Organize Sanayi Yol Ayrımı,4
22747,Aliağa Sahil,5
22750,Aliağa Sahil,5
21442,Aliağa Sanayi,3
21445,Aliağa Sanayi,3
21444,Aliağa Sanayi Çıkış,3
22741,Aliağa Santral,3
22738,Aliağa Terminal İçi,3
24251,Aliağa Terminal İçi,3
22744,Aliağa santral,3
22737,Aliağa İlçe Emniyet Müdürlüğü,6
22740,Aliağa İlçe Emniyet Müdürlüğü,6
22753,Aliağa İskele,5
22756,Aliağa İskele,5
21943,Alize,4
21944,Alize,4
40632,Alkent,4
40633,Alkent,4
51953,Alp,4
52056,Alp,4
24649,Alp Oğuz Anadolu Lisesi,3
31046,Alparslan Mahallesi Muhtarlık,5
31047,Alparslan Mahallesi Muhtarlık,5
31062,Alpaslan,4
31063,Alpaslan,4
10108,Alsancak Devlet Hastanesi,3
10109,Alsancak Devlet Hastanesi,3
10413,Alsancak Gar,2
10415,Alsancak Gar,5
10418,Alsancak Gar,5
30605,Alt Geçit,3
30606,Alt Geçit,3
50089,Altmışıncı Yıl Anadolu Lisesi,10
50092,Altmışıncı Yıl Anadolu Lisesi,10
52443,Altyüz Köprüsü,3
52444,Altyüz Köprüsü,3
10958,Altın,5
10959,Altın,5
40299,Altıncı Sanayi,4
40300,Altıncı Sanayi,4
10659,Altıncı Sanayi Kavşağı,9
30472,Altındağ,4
30163,Altındağ Atatürk Kültür Merkezi STK Yerleşke,5
30164,Altındağ Atatürk Kültür Merkezi STK Yerleşke,5
30030,Altındağ Belediyesi,7
30031,Altındağ Belediyesi,7
30477,Altındağ İlkokulu,4
40267,Altınevler,2
40268,Altınevler,2
24014,Altınkent,2
10248,Altıntaş,14
10251,Altıntaş,16
11889,Altınyağ,12
11890,Altınyağ,12
24421,Alışveriş Merkezi,2
24422,Alışveriş Merkezi,2
31839,Alışveriş Merkezi,2
31840,Alışveriş Merkezi,2
51591,Ambarseki,2
51592,Ambarseki,2
51593,Ambarseki  Filiz,2
51594,Ambarseki  Filiz,2
11266,Amber,12
11267,Amber,12
10274,Amerikan Koleji,2
10275,Amerikan Koleji,3
21147,Ana Jet Üssü,2
21148,Ana Jet Üssü,2
12818,Ana Sağlığı,4
12819,Ana Sağlığı,4
40495,Ana Sağlığı,3
40496,Ana Sağlığı,3
20501,Anadolu Cami,4
20502,Anadolu Cami,4
21699,Anadolu Lisesi,3
21702,Anadolu Lisesi,3
11480,Anaokulu,3
11481,Anaokulu,3
32151,Ankara Caddesi,5
32152,Ankara Caddesi,5
30745,Anıt,2
30746,Anıt,2
50081,Anıt,11
50084,Anıt,11
22545,Anıt Park,3
22546,Anıt Park,3
24304,Apan Çeşme,2
24305,Apan Çeşme,2
11088,Ar Konutları,4
11095,Ar Konutları,4
12066,Arap Cami,13
12429,Arap Deresi,5
12430,Arap Deresi,5
41343,Ardıç,2
41344,Ardıç,2
51857,Ardıç,2
51858,Ardıç,2
15135,Arkacılar,3
15136,Arkacılar,3
15137,Arkacılar Bulut,3
15138,Arkacılar Bulut,3
51008,Armola,2
51009,Armola,2
30802,Armutlu Merkez,2
30803,Armutlu Merkez,2
30800,Armutlu Mezarlık,2
30801,Armutlu Mezarlık,2
30804,Armutlu Ortaokulu,2
30805,Armutlu Ortaokulu,2
30862,Armutlu Park,2
32281,Armutlu Park,2
30860,Armutlu Sağlık Ocağı,2
30863,Armutlu Sağlık Ocağı,2
16741,Armutluk,3
16742,Armutluk,3
32406,Arslan,4
11750,Arıkbaşı Akçam,6
11751,Arıkbaşı Akçam,6
11738,Arıkbaşı Kahveler,3
11739,Arıkbaşı Kahveler,3
11746,Arıkbaşı Okul Yolu,3
11749,Arıkbaşı Okul Yolu,3
11743,Arıkbaşı İstasyon,3
11742,Arıkbaşıı İstasyon,3
15567,Arıtma,2
15568,Arıtma,2
32205,Arıtma Tesisi,2
21412,Asarlık Esat Paşa Mahallesi,3
21406,Asarlık Giriş,5
21407,Asarlık Giriş,5
21568,Asarlık Köprü,4
22017,Asarlık Köprü,3
21410,Asarlık Mezarlık,3
21411,Asarlık Mezarlık,4
21666,Asarlık Park,4
21667,Asarlık Park,3
21664,Asarlık Pazar Yeri,4
21665,Asarlık Pazar Yeri,3
23541,Asarlık Polis Merkezi,2
21652,Asarlık Toki Evleri,4
21653,Asarlık Toki Evleri,4
21686,Asarlık Toki Evleri Son Durak,2
21684,Asarlık Toki Evleri Tepe,2
21685,Asarlık Toki Evleri Tepe,2
21680,Asarlık Toki Evleri Trafo,2
21681,Asarlık Toki Evleri Trafo,2
21682,Asarlık Toki Evleri Üçyol,2
21683,Asarlık Toki Evleri Üçyol,2
21413,Asarlık İnönü Mahallesi,3
11370,Asfalt,2
11371,Asfalt,2
10666,Askeri Lojmanlar,10
15157,Aslanlar  Yol Ayrımı,3
15156,Aslanlar Yol Ayrımı,3
50165,Asmaaltı,5
11443,Asmalı,2
12234,Asmalı,6
12235,Asmalı,6
21385,Astsubay Lojmanları,5
21420,Astsubay Lojmanları,5
50367,Asır,3
50368,Asır,3
20093,Ata,12
20094,Ata,12
20733,Ata,2
20734,Ata,2
22620,Ata,2
22621,Ata,2
31289,Ata,15
40215,Ata,3
40216,Ata,3
52035,Ata,3
52036,Ata,3
50202,Ata Durağı,2
50203,Ata Durağı,3
31425,Ataberk,4
31426,Ataberk,4
20395,Atakent Anadolu Lisesi,14
20396,Atakent Anadolu Lisesi,14
11697,Atalan Aile Sağlığı Merkezi,4
11700,Atalan Aile Sağlığı Merkezi,4
21057,Atatürk,3
21060,Atatürk,3
23368,Atatürk Caddesi,2
31582,Atatürk Caddesi,3
31585,Atatürk Caddesi,3
15482,Atatürk Kültür Merkezi,7
21031,Atatürk Mahallesi Doğan,5
21029,Atatürk Mahallesi Gezer,5
23533,Atatürk Mahallesi Gezer,5
22090,Atatürk Mahallesi Nergis,4
23422,Atatürk Mahallesi Nergis,4
22077,Atatürk Mahallesi TOKİ İlkokulu,5
22078,Atatürk Mahallesi TOKİ İlkokulu,5
22085,Atatürk Mahallesi Toki Evleri 1,5
22086,Atatürk Mahallesi Toki Evleri 1,5
22087,Atatürk Mahallesi Toki Evleri 2,5
22088,Atatürk Mahallesi Toki Evleri 2,5
21027,Atatürk Mahallesi Zirve,8
21035,Atatürk Mahallesi Zirve,7
16368,Atatürk Ortaokulu,2
16369,Atatürk Ortaokulu,2
23398,Atatürk Parkı,3
11878,Atatürk Stadı,9
11805,Atatürk İlkokulu,9
