stop_name,stop_count
Çiftlik,42
Park,34
Mezarlık,27
Fahrettin Altay Aktarma Merkezi,25
Köşe,25
Market,24
Okul,24
Yıldız,24
Çeşme,24
Çiçek,23
Tarla,22
Trafo,22
Sevgi,21
Zeytin,21
Siteler,20
Sağlık Ocağı,19
Zeytinlik,19
Bahçe,18
Benzinlik,18
Papatya,18
Tepe,18
Bornova Metro,17
Fabrika,17
Bostanlı İskele,16
Halkapınar Metro,16
Köprü,16
Zambak,16
Çocuk Parkı,15
Bahribaba,14
Fırın,14
Manolya,14
Orkide,14
Çınar,14
İncir,14
Ata,13
Barış,13
Dörtyol,13
Fatih,13
Palmiye,13
Sümbül,13
Umut,13
Çam,13
Akasya,12
Aydın,12
Defne,12
Dere,12
Doğa,12
Jandarma,12
Kahveler,12
Kasap,12
Konak,12
Manzara,12
Saha,12
Kemer Aktarma Merkezi,11
Sarmaşık,11
Sera,11
Uğur Mumcu,11
Çamlık,11
Emek,10
Evka 3 Aktarma Merkezi,10
Fevzi Çakmak,10
Leylak,10
Orman,10
Ova,10
Sanayi,10
Yamaç,10
Yasemin,10
Yıldırım,10
Bayır,9
Demirci,9
Maltepe,9
Pazaryeri,9
Söğüt,9
İzsu,9
Şirinyer Aktarma,9
Ada,8
Ardıç,8
Badem,8
Begonya,8
Beşyol,8
Cami,8
Cumhuriyet,8
Ege,8
Ekin,8
Esenlik,8
Fabrikalar,8
Fidanlık,8
Göksu,8
Gönül,8
Hanımeli,8
Hilal,8
Huzur,8
Karanfil,8
Küme Evler,8
Lojmanlar,8
Mavi Köşe,8
Mehmetçik,8
Menekşe,8
Mermerci,8
Nergis,8
Ovacık,8
Sardunya,8
Selvi,8
Site,8
Stad,8
Yonca,8
İnci,8
İstiklal,8
Başak,7
Ceviz,7
Depo,7
Fatih Cami,7
Fulya,7
Halkapınar 2,7
Hastane,7
Kardelen,7
Karşıyaka İskele,7
Koruluk,7
Merkez Cami,7
Meydan,7
Sarnıç Aktarma Merkezi,7
Sedir,7
Torbalı Aktarma,7
Tınaztepe,7
Vadi,7
Çardak,7
Çağdaş,7
Öğretmen Evi,7
Üst Geçit,7
Üçyol Aktarma,7
İskele,7
Şahin,7
Şehit Fethibey,7
Alpaslan,6
Anıt,6
Asmalı,6
Atatürk,6
Bahar,6
Bayrak,6
Bloklar,6
Cumaovası Aktarma Merkezi,6
Cumhuriyet Sitesi,6
Dede,6
Dilek,6
Düzlük,6
Düğün Salonu,6
Elif,6
Eski Son Durak,6
Fesleğen,6
Fidan,6
Güneş,6
Hürriyet,6
Kalabak,6
Kamelya,6
Kavak,6
Kiraz,6
Kolej,6
Konutlar,6
Lale,6
Lavanta,6
Maden,6
Nar,6
Plastik Fabrikası,6
Pınar,6
Santral,6
Sağlık,6
Selviler,6
Seralar,6
Spor Salonu,6
Yakamoz,6
Yağmur,6
Yol Ayrımı,6
Zeybek,6
Zeytinyağı Fabrikası,6
Çamlık Cami,6
Çayırlı,6
Çağlayan,6
Çelik,6
Çitlenbik,6
Öğrenci Yurdu,6
Üçyol,6
Bakkal,5
Barbaros,5
Basket Sahası,5
Belediye,5
Birlik,5
Buca Devlet Hastanesi,5
Dereköy,5
Dokuz Eylül,5
Dostlar,5
Doğan,5
Egekent Aktarma Merkezi,5
Emek Sitesi,5
Eylül,5
Eşrefpaşa,5
Fen İşleri,5
Güzeltepe,5
Ilıca,5
Kale,5
Karakol,5
Karaçam,5
Marangoz,5
Menemen Aktarma Merkezi,5
Mimar Sinan,5
Pazar Yeri,5
Sahil,5
Sahil Evleri,5
Yunus Emre,5
Zafer,5
Çamtepe,5
İnönü,5
İğde,5
7 Nolu Sağlık Ocağı,4
Altınevler,4
Altıntepe Cami,4
Alışveriş Merkezi,4
Ana Sağlığı,4
Arslanlar Trafo,4
Atatürk İlkokulu,4
Aygün,4
Açelya,4
Ağaçlı Yol,4
Bahçecik,4
Bahçeler,4
Bahçelievler,4
Balıkçı,4
Baraj Yolu,4
Barış Sitesi,4
Basketbol Sahası,4
Benzin İstasyonu,4
Beyaz Ev,4
Beşevler,4
