route_number,connected_route_count,total_shared_stop_count
200,96,852
660,93,1092
920,93,1001
950,89,719
602,86,968
515,85,917
121,84,564
811,82,314
800,80,942
543,75,587
330,74,567
608,73,764
465,72,501
508,71,665
290,71,436
490,70,596
471,70,501
671,70,298
485,70,284
202,69,403
930,67,497
418,67,271
940,66,602
18,66,317
910,65,698
662,65,638
27,65,314
19,65,279
104,64,686
887,64,522
285,62,578
171,62,470
374,62,470
20,62,261
152,61,593
912,61,532
502,61,516
535,61,482
213,61,207
853,59,653
72,59,354
510,57,616
858,56,1389
470,55,652
539,55,442
157,55,305
302,54,407
102,54,394
504,54,358
501,54,357
23,54,348
681,54,233
691,53,576
206,53,575
587,53,249
838,53,216
36,52,187
214,51,602
987,50,1812
697,50,1688
806,50,1660
984,49,1387
588,49,297
466,49,199
10,49,103
699,48,696
985,47,1772
975,47,1756
249,47,601
426,47,567
353,47,555
536,47,444
193,47,350
224,47,278
550,47,207
21,47,85
879,46,378
54,46,334
680,46,299
484,46,292
105,45,299
598,45,289
684,45,260
981,44,1511
982,44,1447
234,44,226
428,43,658
675,43,656
827,43,642
577,43,536
77,43,536
676,43,507
240,43,475
595,43,459
434,43,454
147,43,440
148,43,426
777,43,383
650,43,380
233,43,290
977,43,170
24,43,167
430,42,496
78,42,458
472,42,437
25,42,151
476,41,505
304,41,490
532,41,382
498,41,359
823,41,330
883,41,154
8,40,1189
5,40,692
7,40,670
6,40,668
551,40,636
125,40,545
963,40,291
480,40,247
277,40,241
983,39,1353
321,39,1229
82,39,1190
599,39,516
311,39,376
555,39,158
820,38,586
197,38,567
742,38,525
135,38,523
878,38,374
140,38,364
866,38,314
168,38,222
909,37,1159
326,37,570
741,37,480
847,37,471
258,37,466
53,37,229
805,36,341
15,36,119
945,36,109
154,36,106
946,36,95
475,36,89
795,35,1379
446,35,516
137,35,487
443,35,446
477,35,419
305,35,412
971,35,412
335,35,383
522,35,378
875,35,350
874,35,272
92,35,216
876,35,198
441,35,159
35,35,115
435,34,343
828,34,341
447,34,306
690,34,155
534,34,121
126,33,442
222,33,435
503,33,422
513,33,422
156,33,211
338,33,183
74,33,154
136,32,441
59,32,328
816,32,308
247,32,273
560,32,267
481,32,177
871,32,156
167,32,78
727,31,1122
229,31,425
445,31,317
204,31,229
556,31,205
108,31,124
29,31,79
30,31,79
32,31,78
33,31,78
367,30,455
429,30,391
327,30,275
559,30,264
44,30,188
45,30,182
564,30,168
364,30,159
873,30,156
701,29,868
808,29,426
877,29,324
537,29,275
517,29,243
505,29,195
557,29,174
49,29,97
529,28,278
344,28,215
124,28,123
483,28,40
712,27,993
732,27,626
962,27,482
60,27,466
442,27,355
523,27,282
329,27,244
303,27,205
817,27,153
84,27,111
487,26,390
16,26,185
818,26,167
314,26,134
117,25,391
64,25,377
762,25,324
361,25,315
423,25,275
486,25,110
89,25,105
951,25,100
770,24,727
722,24,681
322,24,311
524,24,298
128,24,292
359,24,240
695,24,211
891,24,201
346,24,128
810,24,114
798,23,816
713,23,776
719,23,768
782,23,678
749,23,480
714,23,237
715,23,224
119,23,139
212,23,32
784,22,799
783,22,415
748,22,362
565,22,160
566,22,160
585,22,160
584,22,128
390,22,110
547,22,105
786,21,894
721,21,891
763,21,889
785,21,860
780,21,756
781,21,720
724,21,647
57,21,335
707,21,308
153,21,199
365,21,136
253,21,98
568,20,291
328,20,208
570,20,203
176,20,152
17,20,122
516,20,117
58,19,213
295,19,181
417,19,143
596,19,97
869,19,87
313,19,45
936,18,515
761,18,495
648,18,331
756,18,204
821,18,185
520,18,170
177,18,149
42,18,134
978,17,529
835,17,478
882,17,439
737,17,423
760,17,396
906,17,396
9,17,347
961,17,323
657,17,226
284,17,210
196,17,174
412,17,154
575,17,144
34,17,132
46,17,108
610,17,78
776,16,564
829,16,358
658,16,250
41,16,101
986,15,573
989,15,549
753,15,225
759,15,224
747,15,223
267,15,207
342,15,187
868,15,187
579,15,163
123,15,161
491,15,152
758,15,125
949,15,114
39,15,107
533,15,61
651,14,289
988,14,282
750,14,268
652,14,259
653,14,250
734,14,231
733,14,191
738,14,180
831,14,178
832,14,178
833,14,174
836,14,172
754,14,156
755,14,156
643,14,131
644,14,131
751,14,114
149,14,103
969,14,97
775,13,385
729,13,378
792,13,376
842,13,267
645,13,251
646,13,247
67,13,199
826,13,177
848,13,142
698,13,136
207,13,17
991,12,440
979,12,357
787,12,352
794,12,329
799,12,327
793,12,315
640,12,290
642,12,290
788,12,286
804,12,283
990,12,278
641,12,275
789,12,255
705,12,229
358,12,204
791,12,177
814,12,165
966,12,131
865,12,91
259,11,74
114,11,40
796,10,615
803,10,595
611,10,517
609,10,496
661,10,200
317,10,139
656,10,88
558,10,48
616,9,474
621,9,301
618,9,278
597,9,153
268,9,131
709,9,119
368,9,115
679,9,74
790,9,74
678,9,48
766,8,177
769,8,154
772,8,151
468,8,105
757,7,203
745,7,191
767,7,171
967,7,171
668,7,155
768,7,155
666,7,114
111,7,96
664,7,15
837,6,211
849,6,191
801,6,184
778,6,181
935,6,113
743,6,90
728,6,85
834,6,45
232,6,43
315,6,23
316,6,23
665,6,13
28,6,11
850,5,118
619,5,108
889,5,95
812,5,72
221,5,27
744,4,35
692,4,8
746,3,81
693,3,23
694,3,15
774,2,44
752,2,6
976,1,66
710,1,21
839,1,9
449,1,1
