route_1,route_2,shared_stop_count
697,806,347
975,985,187
697,858,165
806,858,163
727,858,160
975,987,160
985,987,159
697,795,157
795,806,157
981,982,141
975,983,124
983,985,124
983,987,124
760,906,122
835,936,114
697,796,113
981,984,109
982,984,109
986,987,106
602,660,105
602,800,105
675,975,103
721,763,102
321,983,101
803,806,101
675,985,99
909,981,99
909,982,99
909,984,99
660,800,98
321,82,97
761,978,96
721,786,94
8,82,94
721,785,93
763,786,93
763,785,92
701,722,90
8,975,90
8,983,90
8,985,90
8,987,90
321,975,89
321,985,89
321,987,89
701,712,89
785,786,89
829,989,88
729,792,87
611,796,86
986,989,86
727,795,84
761,981,83
796,803,83
909,983,82
321,8,81
82,909,81
82,975,81
82,981,81
82,982,81
82,983,81
82,984,81
82,985,81
82,987,81
909,975,81
909,985,81
909,987,81
975,981,81
975,982,81
975,984,81
978,981,81
981,983,81
981,985,81
981,987,81
982,983,81
982,985,81
982,987,81
983,984,81
984,985,81
984,987,81
8,909,80
8,981,80
8,982,80
8,984,80
609,803,77
611,803,77
727,798,77
750,757,77
776,986,76
776,987,76
724,782,75
780,798,75
321,909,74
321,981,74
321,982,74
321,984,74
609,806,73
675,987,72
611,616,71
616,796,71
616,803,71
754,755,71
836,936,71
727,780,69
835,837,69
837,936,69
611,697,68
691,910,68
152,910,67
652,653,67
985,991,67
987,989,67
609,611,66
609,796,66
721,784,66
761,976,66
763,784,66
784,786,66
795,858,66
599,699,65
285,875,64
609,616,64
697,803,64
784,785,64
796,806,64
284,285,63
661,745,63
780,781,63
781,798,63
602,608,62
608,660,62
609,697,62
732,991,61
135,742,60
651,653,60
712,722,60
732,985,60
152,691,59
476,676,59
611,806,59
651,652,58
729,775,58
616,697,57
616,806,57
657,756,57
660,661,57
660,745,57
712,858,57
727,781,57
979,989,57
719,786,56
775,792,56
104,285,55
608,800,55
675,991,55
701,858,55
713,795,55
719,721,55
719,763,55
719,784,55
727,787,55
787,858,55
975,991,55
125,426,54
577,77,54
789,799,54
798,858,54
284,875,53
502,662,53
719,785,53
770,780,53
770,781,53
770,798,53
831,832,53
125,326,52
229,529,52
727,788,52
788,858,52
835,842,52
648,748,51
697,712,51
712,806,51
729,794,51
792,794,51
477,77,50
503,513,50
503,599,50
513,599,50
560,60,50
713,719,50
713,721,50
713,763,50
713,784,50
713,786,50
729,776,50
767,967,50
775,776,50
775,794,50
776,792,50
776,794,50
249,568,49
713,785,49
719,795,49
721,795,49
737,978,49
763,795,49
784,795,49
785,795,49
786,795,49
831,833,49
832,833,49
551,950,48
608,820,48
675,732,48
697,701,48
701,806,48
712,713,48
732,975,48
737,882,48
766,988,48
820,827,48
882,978,48
117,60,47
171,417,47
508,887,47
712,795,47
727,770,47
727,793,47
787,793,47
787,795,47
793,858,47
962,984,47
979,986,47
121,200,46
697,801,46
780,858,46
796,801,46
342,816,45
465,471,45
477,577,45
698,748,45
712,719,45
775,778,45
842,936,45
128,428,44
168,249,44
197,77,44
321,9,44
503,699,44
513,699,44
697,727,44
712,721,44
712,763,44
712,784,44
712,786,44
749,826,44
776,778,44
835,849,44
837,849,44
849,936,44
152,887,43
168,568,43
502,598,43
658,748,43
712,785,43
882,982,43
152,508,42
285,374,42
295,820,42
508,808,42
645,646,42
727,806,42
737,760,42
737,906,42
778,986,42
778,987,42
782,795,42
789,829,42
799,804,42
828,889,42
104,866,41
374,874,41
470,490,41
5,6,41
760,761,41
761,906,41
799,829,41
853,920,41
9,962,41
200,508,40
428,827,40
5,7,40
557,598,40
6,7,40
609,621,40
618,796,40
618,803,40
645,835,40
701,709,40
104,940,39
128,749,39
329,429,39
508,910,39
597,599,39
597,699,39
602,912,39
608,912,39
616,618,39
621,796,39
621,803,39
646,835,39
660,912,39
662,699,39
697,705,39
705,806,39
705,858,39
748,749,39
753,759,39
793,795,39
800,912,39
82,9,39
887,910,39
18,579,38
214,249,38
335,477,38
353,818,38
470,940,38
515,930,38
53,57,38
559,598,38
577,78,38
602,920,38
608,827,38
608,920,38
611,618,38
616,621,38
640,642,38
645,842,38
646,842,38
657,750,38
657,757,38
660,920,38
747,759,38
776,989,38
780,782,38
788,793,38
800,920,38
102,502,37
214,515,37
342,443,37
490,515,37
5,82,37
522,877,37
611,621,37
675,983,37
722,858,37
747,753,37
769,949,37
770,782,37
781,782,37
782,786,37
782,798,37
849,935,37
104,875,36
117,367,36
121,821,36
214,930,36
240,426,36
240,434,36
247,447,36
321,5,36
367,60,36
426,434,36
443,816,36
470,515,36
5,8,36
5,909,36
5,975,36
5,981,36
5,982,36
5,983,36
5,984,36
5,985,36
5,987,36
598,662,36
648,658,36
712,724,36
713,724,36
719,724,36
719,782,36
721,724,36
724,763,36
724,784,36
724,786,36
750,756,36
770,786,36
780,786,36
781,786,36
786,798,36
801,803,36
801,806,36
912,920,36
962,981,36
962,982,36
117,317,35
117,64,35
121,777,35
193,524,35
200,887,35
229,429,35
295,608,35
428,749,35
472,871,35
6,82,35
60,64,35
621,697,35
621,806,35
697,787,35
7,82,35
701,719,35
701,786,35
712,782,35
713,782,35
719,770,35
719,780,35
719,781,35
719,798,35
721,782,35
724,770,35
724,780,35
724,781,35
724,785,35
724,795,35
724,798,35
763,782,35
782,784,35
787,788,35
193,522,34
196,477,34
321,6,34
321,7,34
367,368,34
367,64,34
428,820,34
510,910,34
54,555,34
584,585,34
6,8,34
6,909,34
6,975,34
6,981,34
6,982,34
6,983,34
6,984,34
6,985,34
6,987,34
668,768,34
7,8,34
7,909,34
7,975,34
7,981,34
7,982,34
7,983,34
7,984,34
7,985,34
7,987,34
701,713,34
701,721,34
701,763,34
701,784,34
712,770,34
712,780,34
712,781,34
712,798,34
713,770,34
713,780,34
713,781,34
713,798,34
721,770,34
721,780,34
721,781,34
721,798,34
737,761,34
737,961,34
750,850,34
757,850,34
760,978,34
763,770,34
763,780,34
763,781,34
763,798,34
770,784,34
780,784,34
781,784,34
781,858,34
782,785,34
784,798,34
882,961,34
906,978,34
961,978,34
104,470,33
105,171,33
121,920,33
135,137,33
137,742,33
152,353,33
152,510,33
268,358,33
321,551,33
346,446,33
353,510,33
353,691,33
353,910,33
472,72,33
472,878,33
480,551,33
510,691,33
522,823,33
523,524,33
551,82,33
551,909,33
551,975,33
551,981,33
551,982,33
551,983,33
551,984,33
551,985,33
551,987,33
602,749,33
648,749,33
660,666,33
661,666,33
666,745,33
679,790,33
681,950,33
701,785,33
701,795,33
72,871,33
728,828,33
749,800,33
760,882,33
761,882,33
770,785,33
770,795,33
780,785,33
780,795,33
781,785,33
781,795,33
785,798,33
787,806,33
795,798,33
882,906,33
102,662,32
137,78,32
147,434,32
171,676,32
23,823,32
304,490,32
321,762,32
551,8,32
560,67,32
60,67,32
618,621,32
658,749,32
691,887,32
695,827,32
77,78,32
788,795,32
8,9,32
