route_number,stop_count
697,400
806,384
858,294
987,264
775,239
795,229
701,220
981,218
829,217
761,215
978,202
660,199
985,199
906,195
975,194
989,190
727,188
936,187
712,178
750,174
732,170
729,166
982,166
984,161
776,158
983,158
784,155
798,155
785,152
767,151
321,149
176,145
837,145
796,144
792,140
756,138
760,137
786,135
763,131
788,130
82,128
743,128
976,126
778,125
986,125
835,124
828,122
803,120
782,119
8,118
722,117
774,115
749,114
602,112
648,111
652,108
707,108
800,108
353,107
737,107
608,106
909,105
104,104
611,104
675,104
721,104
9,103
770,103
430,102
651,101
744,101
780,101
200,100
962,100
766,99
967,97
991,97
249,96
762,96
754,95
609,94
801,94
920,94
950,94
367,93
621,93
768,93
714,92
836,92
879,92
285,91
515,91
653,91
657,91
642,89
733,89
748,89
277,88
816,88
117,87
428,87
644,87
738,87
508,86
699,86
793,86
808,86
910,86
646,85
715,85
783,85
789,85
831,85
640,84
769,84
787,84
961,84
358,83
661,83
988,83
125,82
517,82
877,82
60,81
476,81
781,81
171,80
832,80
284,79
645,79
719,79
990,79
119,78
177,78
326,78
491,78
705,78
833,78
121,77
568,77
724,77
757,77
598,76
426,75
522,75
616,75
799,75
814,75
537,74
662,74
691,74
742,74
755,74
759,74
827,74
875,74
935,74
59,73
524,73
551,73
77,72
267,72
152,71
316,71
560,71
599,71
747,71
820,71
224,70
472,70
849,70
866,70
229,69
365,69
559,69
577,69
585,69
745,69
676,68
826,67
882,67
193,66
197,66
233,66
502,66
671,66
734,66
67,65
317,65
520,65
777,65
136,64
709,64
105,63
713,63
940,63
7,62
168,62
374,62
442,62
446,62
539,62
570,62
510,61
523,61
529,61
728,61
74,60
78,60
135,60
214,60
240,60
471,60
794,60
949,60
465,59
498,59
588,59
643,59
930,59
971,59
979,59
64,58
443,58
470,58
477,58
664,58
848,58
865,58
966,58
128,57
147,57
148,57
206,57
641,57
772,57
834,57
842,57
853,57
92,56
247,56
335,56
556,56
874,56
887,56
16,55
658,55
818,55
823,55
868,55
23,54
27,54
137,54
157,54
330,54
429,54
485,54
698,54
54,53
258,53
490,53
503,53
595,53
6,52
20,52
445,52
447,52
475,52
480,52
484,52
618,52
513,51
695,51
847,51
5,50
57,50
72,50
311,50
417,50
505,50
751,50
752,50
805,50
811,50
18,49
24,49
124,49
149,49
587,49
741,49
753,49
758,49
126,48
329,48
364,48
434,48
535,48
876,48
889,48
53,47
84,47
302,47
314,47
342,47
368,47
481,47
28,46
290,46
304,46
543,46
838,46
873,46
295,45
322,45
344,45
547,45
564,45
666,45
790,45
878,45
912,45
140,44
234,44
532,44
557,44
680,44
681,44
746,44
817,44
891,44
46,43
102,43
418,43
804,43
810,43
19,42
156,42
359,42
441,42
536,42
575,42
34,41
196,41
268,41
550,41
123,40
338,40
693,40
791,40
42,39
202,39
597,39
668,39
679,39
504,38
555,38
579,38
850,38
10,37
153,37
466,37
487,37
565,37
584,37
656,37
821,37
951,37
305,36
346,36
423,36
501,36
871,36
35,35
435,35
678,35
883,35
39,34
44,34
963,34
361,33
684,33
221,32
222,32
328,32
869,32
111,31
486,31
566,31
259,30
327,30
619,30
36,29
108,29
650,29
253,28
710,28
839,28
946,28
969,28
17,27
33,27
58,27
89,27
154,27
977,27
45,26
204,26
315,26
449,26
665,26
468,25
945,25
32,24
534,24
516,23
692,23
25,22
41,20
303,20
412,20
812,20
114,19
213,19
15,18
21,18
29,18
30,18
558,18
690,18
167,17
610,17
232,16
390,15
49,14
313,14
694,14
596,11
533,8
483,7
207,5
212,4
