stop_id,stop_name,route_count,connected_routes
10240,Kız Yurdu,31,"104, 105, 15, 152, 157, 171, 18, 19, 193, 20, 21, 224, 23, 233, 27, 285, 29, 30, 32, 33, 374, 465, 471, 484, 485, 508, 550, 587, 588, 72, 887"
50004,Fahrettin Altay Meydan 9,31,"10, 167, 202, 24, 25, 305, 311, 321, 480, 5, 510, 551, 6, 650, 675, 684, 7, 82, 883, 909, 945, 946, 971, 975, 977, 981, 982, 983, 984, 985, 987"
10231,Kestelli,24,"104, 105, 171, 18, 19, 20, 23, 234, 27, 285, 374, 465, 470, 471, 484, 485, 680, 681, 691, 72, 811, 910, 940, 950"
20057,Turan,24,"121, 125, 140, 147, 148, 200, 213, 240, 290, 330, 335, 426, 434, 477, 543, 577, 602, 608, 660, 77, 78, 800, 912, 920"
20060,Turan,24,"121, 125, 140, 147, 148, 200, 213, 240, 290, 330, 335, 426, 434, 477, 543, 577, 602, 608, 660, 77, 78, 800, 912, 920"
50008,Beyaz,24,"202, 24, 25, 305, 311, 321, 481, 5, 510, 6, 650, 7, 8, 82, 909, 971, 975, 977, 981, 982, 983, 984, 985, 987"
20151,Karşıyaka İskele,23,"121, 126, 135, 136, 137, 197, 200, 212, 213, 222, 258, 290, 326, 330, 361, 487, 543, 741, 742, 777, 847, 853, 920"
12874,Halkapınar Tramvay,22,"102, 154, 168, 364, 418, 475, 498, 501, 502, 503, 504, 513, 515, 53, 534, 539, 543, 555, 560, 564, 599, 930"
20081,Çiğli İtfaiye,21,"229, 247, 329, 344, 428, 429, 443, 445, 446, 447, 529, 535, 602, 608, 660, 800, 820, 827, 853, 912, 920"
20153,Osman Bey Parkı,21,"121, 126, 135, 136, 137, 197, 200, 222, 258, 290, 326, 330, 361, 487, 543, 741, 742, 777, 847, 853, 920"
20154,Osman Bey Parkı,21,"121, 126, 135, 136, 137, 197, 200, 222, 258, 290, 326, 330, 361, 487, 543, 741, 742, 777, 847, 853, 920"
20155,Tarık Dursun Kakınç,21,"121, 126, 135, 136, 137, 197, 200, 222, 258, 290, 326, 330, 361, 487, 543, 741, 742, 777, 847, 853, 920"
20157,Dokuz Eylül Dispanser,21,"121, 126, 135, 136, 137, 197, 200, 222, 258, 290, 326, 330, 361, 487, 543, 741, 742, 777, 847, 853, 920"
20159,Karşıyaka Yelken Kulübü,21,"121, 126, 135, 136, 137, 197, 200, 222, 258, 290, 326, 330, 361, 487, 543, 741, 742, 777, 847, 853, 920"
20161,Yunuslar,21,"121, 126, 135, 136, 137, 197, 200, 222, 258, 290, 326, 330, 361, 487, 543, 741, 742, 777, 847, 853, 920"
40010,Şirinyer PTT,21,"104, 206, 285, 303, 304, 374, 441, 470, 472, 476, 490, 515, 536, 676, 72, 805, 871, 874, 875, 876, 940"
50011,Balçova İstasyon,21,"305, 311, 321, 481, 5, 510, 6, 650, 7, 8, 811, 82, 909, 971, 975, 981, 982, 983, 984, 985, 987"
50020,Dokuz Eylül Hastanesi İstasyon,21,"305, 311, 321, 481, 483, 5, 510, 6, 650, 7, 8, 82, 909, 971, 975, 981, 982, 983, 984, 985, 987"
10865,Otel,20,"701, 712, 713, 719, 721, 722, 724, 727, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798, 858"
10867,Şehit Uzman Çavuş Mehmet Onur Özbent,20,"701, 712, 713, 719, 721, 722, 724, 727, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798, 858"
10868,Otel,20,"701, 712, 713, 719, 721, 722, 724, 727, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798, 858"
10870,Yemişlik,20,"701, 712, 713, 719, 721, 722, 724, 727, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798, 858"
10872,Şehit Uzman Çavuş Mehmet Onur Özbent,20,"701, 712, 713, 719, 721, 722, 724, 727, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798, 858"
10903,Yemişlik,20,"701, 712, 713, 719, 721, 722, 724, 727, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798, 858"
11551,Kazım Dirik,20,"701, 712, 713, 715, 719, 721, 722, 724, 727, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798"
11552,Kazım Dirik,20,"701, 712, 713, 715, 719, 721, 722, 724, 727, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798"
11553,Çarşı,20,"701, 712, 713, 715, 719, 721, 722, 724, 727, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798"
11554,Çarşı,20,"701, 712, 713, 715, 719, 721, 722, 724, 727, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798"
11557,Torbalı Belediyesi 2,20,"701, 712, 713, 715, 719, 721, 722, 724, 727, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798"
12058,Eşrefpaşa,20,"104, 105, 157, 171, 193, 224, 23, 233, 285, 29, 30, 32, 33, 374, 465, 471, 484, 485, 72, 940"
20082,Çiğli İtfaiye,20,"229, 247, 329, 344, 428, 429, 443, 445, 446, 529, 535, 602, 608, 660, 800, 820, 827, 853, 912, 920"
20083,Eğitim Gönüllüleri,20,"229, 247, 329, 344, 428, 429, 443, 445, 446, 529, 535, 602, 608, 660, 800, 820, 827, 853, 912, 920"
20084,Eğitim Gönüllüleri,20,"229, 247, 329, 344, 428, 429, 443, 445, 446, 529, 535, 602, 608, 660, 800, 820, 827, 853, 912, 920"
20483,Girne Konutları,20,"135, 137, 147, 148, 197, 240, 258, 426, 430, 434, 435, 532, 535, 537, 577, 741, 742, 77, 78, 847"
40009,Şirinyer Pazar Yeri,20,"206, 285, 303, 304, 374, 441, 472, 476, 485, 536, 676, 72, 74, 805, 838, 866, 871, 874, 875, 876"
40198,Şirinyer Saha,20,"36, 418, 441, 465, 471, 472, 476, 536, 671, 676, 74, 805, 818, 838, 866, 871, 874, 875, 876, 878"
50010,Balçova İstasyon,20,"305, 311, 321, 481, 5, 510, 6, 650, 7, 8, 82, 909, 971, 975, 981, 982, 983, 984, 985, 987"
50012,Molla Kuyusu,20,"305, 311, 321, 481, 5, 510, 6, 650, 7, 8, 82, 909, 971, 975, 981, 982, 983, 984, 985, 987"
50013,Molla Kuyusu,20,"305, 311, 321, 5, 510, 6, 650, 7, 8, 811, 82, 909, 971, 975, 981, 982, 983, 984, 985, 987"
50017,Çağdaş İstasyon,20,"305, 311, 321, 5, 510, 6, 650, 7, 8, 811, 82, 909, 971, 975, 981, 982, 983, 984, 985, 987"
50018,Hoca,20,"305, 311, 321, 481, 5, 510, 6, 650, 7, 8, 82, 909, 971, 975, 981, 982, 983, 984, 985, 987"
50019,Hoca,20,"305, 311, 321, 5, 510, 6, 650, 7, 8, 811, 82, 909, 971, 975, 981, 982, 983, 984, 985, 987"
11506,Tepeköy Aktarma,19,"701, 712, 713, 714, 719, 721, 722, 724, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798"
11510,Tepeköy Aktarma,19,"701, 712, 713, 714, 719, 721, 722, 724, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798"
11531,Tepeköy İstasyon Yolu,19,"701, 712, 713, 714, 719, 721, 722, 724, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798"
11564,Torbalı Belediyesi,19,"701, 712, 713, 715, 719, 721, 724, 727, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798"
20085,Çiğli Belediye,19,"229, 247, 329, 344, 428, 429, 443, 446, 529, 535, 602, 608, 660, 800, 820, 827, 853, 912, 920"
20086,Çiğli Belediye,19,"229, 247, 329, 344, 428, 429, 443, 446, 529, 535, 602, 608, 660, 800, 820, 827, 853, 912, 920"
20096,Balatçık Kahveler,19,"128, 295, 346, 428, 595, 596, 602, 608, 660, 695, 800, 810, 816, 817, 820, 827, 853, 912, 920"
40153,Şirinyer İstasyonu,19,"206, 36, 418, 441, 466, 476, 536, 671, 676, 74, 805, 818, 838, 866, 871, 874, 875, 876, 878"
50014,İş Bankası Evleri,19,"305, 311, 321, 5, 510, 6, 650, 7, 8, 82, 909, 971, 975, 981, 982, 983, 984, 985, 987"
50015,İş Bankası Evleri,19,"305, 311, 321, 5, 510, 6, 7, 8, 811, 82, 909, 971, 975, 981, 982, 983, 984, 985, 987"
50016,Çağdaş İstasyon,19,"305, 311, 321, 5, 510, 6, 650, 7, 8, 82, 909, 971, 975, 981, 982, 983, 984, 985, 987"
50021,Dokuz Eylül Hastanesi İstasyon,19,"305, 311, 321, 5, 6, 650, 7, 8, 811, 82, 909, 971, 975, 981, 982, 983, 984, 985, 987"
10235,Koruluk,18,"104, 105, 171, 23, 234, 285, 374, 465, 470, 471, 484, 485, 680, 691, 72, 910, 940, 950"
10363,Eşref Paşa Hastanesi,18,"117, 153, 214, 249, 302, 367, 418, 44, 45, 49, 54, 57, 58, 59, 60, 64, 662, 699"
10365,Ziya Gökalp Ortaokulu,18,"117, 153, 214, 249, 302, 367, 418, 44, 45, 49, 54, 57, 58, 59, 60, 64, 662, 699"
11504,Torbalı Anadolu İmam Hatip Lisesi,18,"701, 712, 713, 719, 721, 722, 724, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798"
11507,Torbalı Anadolu İmam Hatip Lisesi,18,"701, 712, 713, 719, 721, 722, 724, 763, 770, 780, 781, 782, 783, 784, 785, 786, 795, 798"
20055,Bayraklı Çamlık,18,"102, 125, 140, 147, 148, 240, 335, 426, 434, 477, 501, 502, 504, 577, 598, 662, 77, 78"
20134,Bayraklı Üst Geçit,18,"102, 121, 200, 213, 290, 330, 501, 502, 504, 543, 598, 602, 608, 660, 662, 800, 912, 920"
20189,Bostanlı Pazaryeri,18,"121, 200, 229, 322, 327, 423, 428, 429, 442, 443, 445, 446, 447, 595, 777, 820, 821, 827"
20191,Beşikçioğlu Cami,18,"121, 200, 229, 322, 327, 423, 428, 429, 442, 443, 445, 446, 447, 595, 777, 820, 821, 827"
20194,Bostanlı Pazaryeri,18,"121, 200, 229, 322, 327, 423, 428, 429, 442, 443, 445, 446, 447, 595, 777, 820, 821, 827"
20196,Beşikçioğlu Cami,18,"121, 200, 229, 322, 327, 423, 428, 429, 442, 443, 445, 446, 447, 595, 777, 820, 821, 827"
20197,Bostanlı Market,18,"121, 200, 229, 322, 327, 423, 428, 429, 442, 443, 445, 446, 447, 595, 777, 820, 821, 827"
20198,Bostanlı Market,18,"121, 200, 229, 322, 327, 423, 428, 429, 442, 443, 445, 446, 447, 595, 777, 820, 821, 827"
20199,Şehit Diplomat Erdoğan Özen,18,"126, 135, 136, 137, 197, 222, 258, 326, 361, 430, 435, 487, 532, 741, 742, 847, 853, 920"
20200,Şehit Diplomat Erdoğan Özen,18,"126, 135, 136, 137, 197, 222, 258, 326, 361, 430, 435, 487, 532, 741, 742, 847, 853, 920"
20201,Metin Aşıkoğlu Ortaokulu,18,"126, 135, 136, 137, 197, 222, 258, 326, 361, 430, 435, 487, 532, 741, 742, 847, 853, 920"
20202,Metin Aşıkoğlu Ortaokulu,18,"126, 135, 136, 137, 197, 222, 258, 326, 361, 430, 435, 487, 532, 741, 742, 847, 853, 920"
20203,Geçit 2,18,"126, 135, 136, 137, 197, 222, 258, 326, 361, 430, 435, 487, 532, 741, 742, 847, 853, 920"
20204,Geçit 2,18,"126, 135, 136, 137, 197, 222, 258, 326, 361, 430, 435, 487, 532, 741, 742, 847, 853, 920"
20205,Geçit 1,18,"126, 135, 136, 137, 197, 222, 258, 326, 361, 430, 435, 487, 532, 741, 742, 847, 853, 920"
20206,Geçit 1,18,"126, 135, 136, 137, 197, 222, 258, 326, 361, 430, 435, 487, 532, 741, 742, 847, 853, 920"
20207,Girne Bulvarı,18,"126, 135, 136, 137, 197, 222, 258, 326, 361, 430, 435, 487, 532, 741, 742, 847, 853, 920"
20208,Girne Bulvarı,18,"126, 135, 136, 137, 197, 222, 258, 326, 361, 430, 435, 487, 532, 741, 742, 847, 853, 920"
20339,Mavişehir,18,"121, 229, 322, 327, 423, 428, 429, 442, 443, 445, 446, 447, 547, 595, 777, 820, 821, 827"
30131,Çamdibi Sağlık Ocağı,18,"102, 214, 249, 498, 501, 502, 503, 504, 513, 515, 539, 54, 543, 555, 599, 662, 699, 930"
30281,Halide Edip Adıvar,18,"102, 214, 249, 338, 359, 498, 501, 502, 503, 504, 513, 515, 543, 599, 662, 699, 930, 963"
40127,Mühendislik Fakültesi,18,"171, 213, 277, 290, 304, 353, 390, 412, 465, 470, 471, 472, 476, 490, 515, 676, 690, 878"
40128,Mühendislik Fakültesi,18,"171, 213, 277, 290, 304, 353, 390, 412, 465, 470, 471, 472, 476, 490, 515, 676, 690, 878"
50022,Dokuz Eylül,18,"305, 321, 5, 551, 6, 7, 8, 82, 909, 950, 971, 975, 981, 982, 983, 984, 985, 987"
50023,Dokuz Eylül,18,"305, 321, 5, 551, 6, 7, 8, 82, 909, 950, 971, 975, 981, 982, 983, 984, 985, 987"
50024,Kantar,18,"305, 321, 5, 551, 6, 7, 8, 82, 909, 950, 971, 975, 981, 982, 983, 984, 985, 987"
50025,Kantar,18,"305, 321, 5, 551, 6, 7, 8, 82, 909, 950, 971, 975, 981, 982, 983, 984, 985, 987"
50026,İzsu,18,"305, 321, 5, 551, 6, 7, 8, 82, 909, 950, 971, 975, 981, 982, 983, 984, 985, 987"
50027,Güzel Sanatlar Fakültesi,18,"305, 321, 5, 551, 6, 7, 8, 82, 909, 950, 971, 975, 981, 982, 983, 984, 985, 987"
50030,Balcı,18,"305, 321, 5, 551, 6, 7, 8, 82, 909, 950, 971, 975, 981, 982, 983, 984, 985, 987"
10103,Belediye Sarayı,17,"121, 18, 19, 20, 202, 253, 27, 302, 36, 466, 811, 838, 910, 920, 930, 940, 950"
10252,Üçyol Metro,17,"108, 124, 156, 16, 18, 19, 21, 490, 522, 556, 588, 681, 823, 84, 89, 92, 950"
10364,Ziya Gökalp Ortaokulu,17,"117, 153, 214, 249, 302, 367, 418, 44, 45, 54, 57, 58, 59, 60, 64, 662, 699"
10366,Tepecik Doğum Hastanesi,17,"117, 153, 214, 249, 302, 367, 418, 44, 45, 54, 57, 58, 59, 60, 64, 662, 699"
10367,Tepecik Doğum Hastanesi,17,"117, 153, 214, 249, 302, 367, 418, 44, 45, 54, 57, 58, 59, 60, 64, 662, 699"
10368,Yenişehir PTT,17,"117, 153, 214, 249, 302, 367, 418, 44, 45, 54, 57, 58, 59, 60, 64, 662, 699"
10369,Yenişehir PTT,17,"117, 153, 214, 249, 302, 367, 418, 44, 45, 54, 57, 58, 59, 60, 64, 662, 699"
10660,Ege Serbest Bölge,17,"152, 200, 202, 204, 206, 353, 508, 510, 691, 697, 806, 808, 828, 858, 887, 891, 910"
11532,Tepeköy İstasyon Yolu,17,"701, 712, 713, 714, 719, 721, 722, 724, 763, 770, 780, 781, 782, 783, 784, 786, 798"
11558,Şehit Uzman Onbaşı Mustafa Eser,17,"712, 713, 714, 719, 721, 724, 727, 763, 770, 780, 781, 782, 784, 785, 786, 795, 798"
11559,Şehit Uzman Onbaşı Mustafa Eser,17,"712, 713, 714, 719, 721, 724, 727, 763, 770, 780, 781, 782, 784, 785, 786, 795, 798"
11590,Özensu,17,"712, 713, 714, 719, 721, 724, 727, 763, 770, 780, 781, 782, 784, 785, 786, 795, 798"
11591,Özensu,17,"712, 713, 714, 719, 721, 724, 727, 763, 770, 780, 781, 782, 784, 785, 786, 795, 798"
20062,Naldöken,17,"125, 140, 147, 148, 240, 335, 426, 434, 477, 577, 602, 608, 660, 77, 78, 800, 912"
20209,Çayırcı,17,"126, 135, 136, 137, 197, 222, 258, 326, 430, 435, 487, 532, 741, 742, 847, 853, 920"
20211,Zafer Takı,17,"126, 135, 136, 137, 197, 222, 258, 326, 430, 435, 487, 532, 741, 742, 847, 853, 920"
20212,Çayırcı,17,"126, 135, 136, 137, 197, 222, 258, 326, 430, 435, 487, 532, 741, 742, 847, 853, 920"
20214,Zafer Takı,17,"126, 135, 136, 137, 197, 222, 258, 326, 430, 435, 487, 532, 741, 742, 847, 853, 920"
30279,Adliye,17,"102, 214, 249, 498, 501, 502, 503, 504, 513, 515, 539, 543, 599, 662, 699, 930, 963"
30282,Halide Edip Adıvar,17,"102, 214, 249, 359, 498, 501, 502, 503, 504, 513, 515, 543, 599, 662, 699, 930, 963"
31280,Rektörlük,17,"214, 313, 314, 328, 330, 338, 365, 515, 559, 565, 566, 568, 570, 584, 585, 930, 963"
40011,Yeni Mahalle,17,"104, 206, 285, 303, 304, 374, 470, 476, 490, 515, 536, 676, 805, 874, 875, 876, 940"
40012,Yeni Mahalle,17,"104, 206, 285, 303, 304, 374, 470, 476, 490, 515, 536, 676, 805, 874, 875, 876, 940"
40013,Buca Vergi Dairesi,17,"104, 206, 285, 303, 304, 374, 470, 476, 490, 515, 536, 676, 805, 874, 875, 876, 940"
40014,Buca Vergi Dairesi,17,"104, 206, 285, 303, 304, 374, 470, 476, 490, 515, 536, 676, 805, 874, 875, 876, 940"
40015,Buca Belediye Sarayı,17,"104, 206, 285, 303, 304, 374, 470, 476, 490, 515, 536, 676, 805, 874, 875, 876, 940"
40016,Buca Belediye Sarayı,17,"104, 206, 285, 303, 304, 374, 470, 476, 490, 515, 536, 676, 805, 874, 875, 876, 940"
40737,Buca Sağlık Ocağı,17,"104, 206, 304, 353, 465, 470, 471, 472, 476, 490, 515, 536, 676, 805, 866, 878, 940"
40738,Buca Sağlık Ocağı,17,"104, 206, 304, 353, 465, 470, 471, 472, 476, 490, 515, 536, 676, 805, 866, 878, 940"
10177,Hava Hastanesi,16,"10, 17, 202, 24, 25, 480, 486, 5, 510, 6, 650, 671, 690, 7, 873, 977"
10247,Bayramyeri,16,"15, 152, 157, 18, 19, 20, 27, 508, 550, 587, 588, 681, 811, 887, 910, 950"
10251,Altıntaş,16,"15, 152, 157, 18, 19, 20, 27, 508, 550, 587, 588, 681, 811, 887, 910, 950"
10661,Ege Serbest Bölge,16,"152, 200, 202, 204, 206, 353, 508, 510, 691, 697, 806, 808, 858, 887, 891, 910"
10662,Leylak,16,"152, 200, 202, 204, 206, 353, 508, 510, 691, 697, 806, 808, 858, 887, 891, 910"
10663,Leylak,16,"152, 200, 202, 204, 206, 353, 508, 510, 691, 697, 806, 808, 858, 887, 891, 910"
10664,Ulaştırma,16,"152, 200, 202, 204, 206, 353, 508, 510, 691, 697, 806, 808, 858, 887, 891, 910"
10665,Ulaştırma,16,"152, 200, 202, 204, 206, 353, 508, 510, 691, 697, 806, 808, 858, 887, 891, 910"
